Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200402,08,电机北厂,70,良,细颗粒物(PM2.5),51,56,0.6,14,62,66,6
20200402,08,市监测站,63,良,细颗粒物(PM2.5),45,54,0.4,14,50,54,7
20200402,08,市环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,08,市城管局(181124启用),139,轻度污染,细颗粒物(PM2.5),106,137,1.5,70,17,18,22
20200402,08,市城管局,65,良,细颗粒物(PM2.5),47,60,0.3,18,50,54,4
20200402,09,电机北厂,23,优,NaN,NaN,NaN,0.6,14,71,66,7
20200402,09,市监测站,55,良,细颗粒物(PM2.5),39,41,0.4,21,54,53,8
20200402,09,市环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,09,市城管局(181124启用),139,轻度污染,细颗粒物(PM2.5),106,137,1.5,70,17,18,22
20200402,09,市城管局,70,良,细颗粒物(PM2.5),51,62,0.3,21,64,53,4
20200402,10,电机北厂,36,优,NaN,14,36,0.6,15,87,68,6
20200402,10,市监测站,58,良,细颗粒物(PM2.5),41,54,0.4,14,83,55,8
20200402,10,市环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,10,市城管局(181124启用),139,轻度污染,细颗粒物(PM2.5),106,137,1.5,70,17,18,22
20200402,10,市城管局,60,良,细颗粒物(PM2.5),43,58,0.3,16,81,56,4
20200402,11,电机北厂,29,优,NaN,NaN,NaN,0.7,13,92,72,5
20200402,11,市监测站,58,良,细颗粒物(PM2.5),41,54,0.4,12,87,59,7
20200402,11,市环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,11,市城管局(181124启用),139,轻度污染,细颗粒物(PM2.5),106,137,1.5,70,17,18,22
20200402,11,市城管局,59,良,细颗粒物(PM2.5),42,61,0.2,13,93,62,4
20200402,12,电机北厂,32,优,NaN,NaN,NaN,0.7,12,101,77,5
20200402,12,市监测站,49,优,NaN,33,49,0.4,10,92,64,7
20200402,12,市环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,12,市城管局(181124启用),139,轻度污染,细颗粒物(PM2.5),106,137,1.5,70,17,18,22
20200402,12,市城管局,62,良,细颗粒物(PM2.5),44,57,0.2,12,98,68,4
20200402,13,电机北厂,34,优,NaN,NaN,NaN,NaN,12,106,82,5
20200402,13,市监测站,42,优,NaN,29,34,0.4,10,100,70,7
20200402,13,市环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,13,市城管局(181124启用),139,轻度污染,细颗粒物(PM2.5),106,137,1.5,70,17,18,22
20200402,13,市城管局,58,良,细颗粒物(PM2.5),41,49,0.2,10,104,74,4
20200402,14,电机北厂,60,良,细颗粒物(PM2.5),43,49,NaN,11,114,88,5
20200402,14,市监测站,42,优,NaN,28,42,0.4,9,111,78,8
20200402,14,市环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,14,市城管局(181124启用),139,轻度污染,细颗粒物(PM2.5),106,137,1.5,70,17,18,22
20200402,14,市城管局,58,良,细颗粒物(PM2.5),41,47,0.2,11,110,82,5
20200402,15,电机北厂,45,优,NaN,31,40,0.6,12,123,94,6
20200402,15,市监测站,40,优,NaN,28,28,0.4,9,116,87,8
20200402,15,市环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,15,市城管局(181124启用),139,轻度污染,细颗粒物(PM2.5),106,137,1.5,70,17,18,22
20200402,15,市城管局,54,良,细颗粒物(PM2.5),38,40,0.2,10,121,90,5
20200402,16,电机北厂,46,优,NaN,32,38,0.5,12,126,102,6
20200402,16,市监测站,40,优,NaN,28,32,0.4,10,118,95,8
20200402,16,市环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,16,市城管局(181124启用),139,轻度污染,细颗粒物(PM2.5),106,137,1.5,70,17,18,22
20200402,16,市城管局,48,优,NaN,33,38,0.2,10,125,100,4
20200402,17,电机北厂,43,优,NaN,30,36,0.5,12,126,109,6
20200402,17,市监测站,39,优,NaN,26,39,0.4,11,121,104,10
20200402,17,市环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,17,市城管局(181124启用),139,轻度污染,细颗粒物(PM2.5),106,137,1.5,70,17,18,22
20200402,17,市城管局,49,优,NaN,34,38,0.2,12,125,107,5
20200402,18,电机北厂,43,优,NaN,30,41,0.6,15,126,114,7
20200402,18,市监测站,50,优,NaN,29,50,0.4,12,121,108,10
20200402,18,市环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,18,市城管局(181124启用),139,轻度污染,细颗粒物(PM2.5),106,137,1.5,70,17,18,22
20200402,18,市城管局,48,优,NaN,33,38,0.3,12,125,113,5
20200402,19,电机北厂,50,优,NaN,35,47,0.6,18,120,118,6
20200402,19,市监测站,49,优,NaN,31,49,0.4,16,108,111,9
20200402,19,市环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,19,市城管局(181124启用),139,轻度污染,细颗粒物(PM2.5),106,137,1.5,70,17,18,22
20200402,19,市城管局,48,优,NaN,33,38,0.2,14,119,116,5
20200402,20,电机北厂,52,良,细颗粒物(PM2.5),36,50,0.7,19,116,120,7
20200402,20,市监测站,48,优,NaN,33,42,0.5,25,90,111,9
20200402,20,市环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,20,市城管局(181124启用),139,轻度污染,细颗粒物(PM2.5),106,137,1.5,70,17,18,22
20200402,20,市城管局,52,良,细颗粒物(PM2.5),36,45,0.3,21,103,116,5
20200402,20,电机北厂,52,良,细颗粒物(PM2.5),36,50,0.7,19,116,120,7
20200402,20,市监测站,48,优,NaN,33,42,0.5,25,90,111,9
20200402,20,市环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,20,市城管局(181124启用),139,轻度污染,细颗粒物(PM2.5),106,137,1.5,70,17,18,22
20200402,20,市城管局,52,良,细颗粒物(PM2.5),36,45,0.3,21,103,116,5
20200402,22,电机北厂,58,良,细颗粒物(PM2.5),41,59,0.8,33,89,116,6
20200402,22,市监测站,58,良,颗粒物(PM10),36,66,0.5,25,88,107,10
20200402,22,市环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,22,市城管局(181124启用),139,轻度污染,细颗粒物(PM2.5),106,137,1.5,70,17,18,22
20200402,22,市城管局,59,良,细颗粒物(PM2.5),42,62,0.4,28,82,110,6
20200402,23,电机北厂,68,良,细颗粒物(PM2.5),49,62,0.8,36,78,110,6
20200402,23,市监测站,67,良,颗粒物(PM10),42,83,0.6,34,68,101,13
20200402,23,市环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,23,市城管局(181124启用),139,轻度污染,细颗粒物(PM2.5),106,137,1.5,70,17,18,22
20200402,23,市城管局,62,良,细颗粒物(PM2.5),44,64,0.4,58,42,100,6
20200403,00,电机北厂,70,良,细颗粒物(PM2.5),51,83,0.8,50,55,102,6
20200403,00,市监测站,68,良,颗粒物(PM10),46,86,0.5,42,48,93,10
20200403,00,市环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,00,市城管局(181124启用),139,轻度污染,细颗粒物(PM2.5),106,137,1.5,70,17,18,22
20200403,00,市城管局,60,良,细颗粒物(PM2.5),43,62,0.4,65,29,88,6
20200403,01,电机北厂,78,良,细颗粒物(PM2.5),57,86,0.8,58,42,42,8
20200403,01,市监测站,72,良,细颗粒物(PM2.5),52,83,0.5,70,13,13,10
20200403,01,市环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,01,市城管局(181124启用),139,轻度污染,细颗粒物(PM2.5),106,137,1.5,70,17,18,22
20200403,01,市城管局,72,良,细颗粒物(PM2.5),52,75,0.4,68,19,19,7
20200403,02,电机北厂,110,轻度污染,细颗粒物(PM2.5),83,97,0.9,42,53,48,9
20200403,02,市监测站,78,良,细颗粒物(PM2.5),57,88,0.6,40,40,26,11
20200403,02,市环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,02,市城管局(181124启用),139,轻度污染,细颗粒物(PM2.5),106,137,1.5,70,17,18,22
20200403,02,市城管局,83,良,细颗粒物(PM2.5),61,95,0.5,57,28,24,7
20200403,03,电机北厂,107,轻度污染,细颗粒物(PM2.5),80,100,1.2,32,58,51,13
20200403,03,市监测站,85,良,细颗粒物(PM2.5),63,96,0.7,29,46,33,13
20200403,03,市环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,03,市城管局(181124启用),139,轻度污染,细颗粒物(PM2.5),106,137,1.5,70,17,18,22
20200403,03,市城管局,98,良,细颗粒物(PM2.5),73,106,0.5,39,42,30,8
20200403,08,电机北厂,120,轻度污染,细颗粒物(PM2.5),91,124,1.8,43,34,39,20
20200403,08,市监测站,128,轻度污染,细颗粒物(PM2.5),97,129,1.1,36,27,29,21
20200403,08,市环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,08,市城管局(181124启用),139,轻度污染,细颗粒物(PM2.5),106,137,1.5,70,17,18,22
20200403,08,市城管局,100,良,细颗粒物(PM2.5),75,104,0.8,40,22,26,14
20200403,09,电机北厂,105,轻度污染,细颗粒物(PM2.5),79,119,1.6,40,46,40,21
20200403,09,市监测站,113,轻度污染,细颗粒物(PM2.5),85,135,1.1,35,32,32,21
20200403,09,市环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,09,市城管局(181124启用),139,轻度污染,细颗粒物(PM2.5),106,137,1.5,70,17,18,22
20200403,09,市城管局,122,轻度污染,细颗粒物(PM2.5),92,115,1.0,38,34,28,18
20200403,10,电机北厂,64,良,颗粒物(PM10),42,77,1.2,37,61,41,21
20200403,10,市监测站,72,良,颗粒物(PM10),46,94,1.0,32,51,33,22
20200403,10,市环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,10,市城管局(181124启用),139,轻度污染,细颗粒物(PM2.5),106,137,1.5,70,17,18,22
20200403,10,市城管局,135,轻度污染,细颗粒物(PM2.5),103,142,0.8,36,54,31,20
20200403,11,电机北厂,64,良,细颗粒物(PM2.5),46,76,1.1,33,75,43,17
20200403,11,市监测站,60,良,颗粒物(PM10),41,70,0.9,32,63,35,24
20200403,11,市环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,11,市城管局(181124启用),139,轻度污染,细颗粒物(PM2.5),106,137,1.5,70,17,18,22
20200403,11,市城管局,79,良,细颗粒物(PM2.5),58,83,0.7,31,72,35,17
20200403,12,电机北厂,57,良,细颗粒物(PM2.5),40,41,0.8,25,90,49,11
20200403,12,市监测站,54,良,颗粒物(PM10),32,58,0.6,22,87,41,16
20200403,12,市环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,12,市城管局(181124启用),139,轻度污染,细颗粒物(PM2.5),106,137,1.5,70,17,18,22
20200403,12,市城管局,59,良,颗粒物(PM10),40,68,0.5,24,93,42,12
20200403,13,电机北厂,36,优,NaN,22,36,0.5,14,102,58,7
20200403,13,市监测站,33,优,NaN,23,30,0.4,15,97,50,11
20200403,13,市环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,13,市城管局(181124启用),139,轻度污染,细颗粒物(PM2.5),106,137,1.5,70,17,18,22
20200403,13,市城管局,56,良,颗粒物(PM10),30,62,0.2,17,106,51,7
20200403,14,电机北厂,34,优,NaN,15,27,0.5,16,106,67,6
20200403,14,市监测站,33,优,NaN,20,26,0.4,13,103,60,10
20200403,14,市环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
