Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200402,08,市环境监测站,50,优,NaN,30,50,0.9,35,49,73,8
20200402,08,省医药仓库,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,08,四陆医院,58,良,颗粒物(PM10),40,66,1.0,40,33,62,10
20200402,08,第五水厂,48,优,NaN,30,48,1.0,13,42,53,7
20200402,08,城北区政府,39,优,NaN,23,39,0.7,45,40,62,6
20200402,09,市环境监测站,52,良,颗粒物(PM10),28,53,1.2,40,43,69,9
20200402,09,省医药仓库,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,09,四陆医院,59,良,颗粒物(PM10),41,67,1.0,35,39,58,9
20200402,09,第五水厂,53,良,颗粒物(PM10),23,56,1.0,20,42,51,8
20200402,09,城北区政府,43,优,NaN,22,43,0.8,46,41,59,6
20200402,10,市环境监测站,51,良,颗粒物(PM10),31,52,0.9,33,59,67,8
20200402,10,省医药仓库,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,10,四陆医院,58,良,细颗粒物(PM2.5),41,60,0.9,29,52,55,9
20200402,10,第五水厂,55,良,颗粒物(PM10),26,59,0.9,25,44,49,9
20200402,10,城北区政府,43,优,NaN,23,43,0.8,45,47,56,5
20200402,11,市环境监测站,49,优,NaN,32,49,0.7,29,61,64,8
20200402,11,省医药仓库,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,11,四陆医院,53,良,颗粒物(PM10),35,55,0.8,22,56,53,9
20200402,11,第五水厂,55,良,颗粒物(PM10),28,59,0.6,14,60,48,8
20200402,11,城北区政府,46,优,NaN,26,46,0.7,40,51,54,6
20200402,12,市环境监测站,54,良,颗粒物(PM10),30,58,0.8,29,64,62,8
20200402,12,省医药仓库,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
