Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200402,08,马鞍山,25,优,NaN,17,NaN,0.5,5,37,38,2
20200402,08,市环保站,20,优,NaN,9,20,0.5,26,28,42,4
20200402,08,太慈桥,22,优,NaN,15,18,0.4,14,29,38,5
20200402,08,桐木岭,23,优,NaN,14,23,0.6,6,55,64,6
20200402,08,燕子冲,32,优,NaN,22,22,0.6,6,40,42,7
20200402,08,碧云窝,33,优,NaN,21,33,0.6,22,27,42,8
20200402,08,中院村,18,优,NaN,12,18,0.6,22,26,39,11
20200402,08,红边门,22,优,NaN,15,20,0.5,23,26,37,8
20200402,08,新华路,19,优,NaN,13,19,0.5,14,36,42,4
20200402,08,鉴湖路,26,优,NaN,11,26,0.5,16,39,44,7
20200402,09,马鞍山,23,优,NaN,16,NaN,0.5,9,32,35,2
20200402,09,市环保站,17,优,NaN,9,17,0.6,34,20,37,5
20200402,09,太慈桥,25,优,NaN,11,25,0.5,22,16,33,5
20200402,09,桐木岭,28,优,NaN,19,21,0.6,5,56,62,6
20200402,09,燕子冲,35,优,NaN,24,24,0.6,8,39,41,6
20200402,09,碧云窝,37,优,NaN,24,37,0.7,29,16,38,8
20200402,09,中院村,19,优,NaN,13,18,0.7,23,24,36,12
20200402,09,红边门,26,优,NaN,18,21,0.6,25,23,34,9
20200402,09,新华路,22,优,NaN,12,22,0.6,16,32,39,4
20200402,09,鉴湖路,27,优,NaN,8,27,0.5,18,36,42,7
20200402,10,马鞍山,22,优,NaN,15,15,0.5,11,29,34,2
20200402,10,市环保站,25,优,NaN,10,25,0.7,37,14,33,5
20200402,10,太慈桥,26,优,NaN,11,26,0.6,26,11,29,5
20200402,10,桐木岭,27,优,NaN,17,27,0.7,6,53,60,6
20200402,10,燕子冲,35,优,NaN,24,NaN,0.6,9,37,42,6
20200402,10,碧云窝,36,优,NaN,20,36,0.7,34,13,34,10
20200402,10,中院村,20,优,NaN,13,20,0.7,29,17,32,14
20200402,10,红边门,25,优,NaN,15,25,0.6,26,22,32,9
20200402,10,新华路,27,优,NaN,13,27,0.6,23,25,36,5
20200402,10,鉴湖路,26,优,NaN,8,26,0.5,18,34,40,7
20200402,11,马鞍山,23,优,NaN,16,NaN,0.5,10,30,34,2
20200402,11,市环保站,30,优,NaN,14,30,0.6,34,19,30,5
20200402,11,太慈桥,31,优,NaN,14,31,0.6,27,8,26,6
20200402,11,桐木岭,28,优,NaN,19,19,0.7,6,52,58,6
20200402,11,燕子冲,29,优,NaN,20,NaN,0.6,12,37,41,7
20200402,11,碧云窝,40,优,NaN,13,40,0.7,35,12,29,13
20200402,11,中院村,23,优,NaN,16,19,0.7,33,12,29,14
20200402,11,红边门,28,优,NaN,19,25,0.6,23,25,32,10
20200402,11,新华路,28,优,NaN,19,28,0.6,26,23,34,5
20200402,11,鉴湖路,25,优,NaN,11,25,0.6,25,27,38,7
20200402,12,马鞍山,23,优,NaN,16,19,0.5,11,32,34,3
20200402,12,市环保站,30,优,NaN,17,30,0.6,31,24,29,5
20200402,12,太慈桥,41,优,NaN,17,41,0.5,24,15,22,5
20200402,12,桐木岭,20,优,NaN,12,20,0.6,5,54,56,6
20200402,12,燕子冲,29,优,NaN,20,23,0.6,11,35,40,6
20200402,12,碧云窝,42,优,NaN,21,42,0.7,29,19,26,16
20200402,12,中院村,28,优,NaN,19,27,0.7,31,14,26,13
20200402,12,红边门,22,优,NaN,15,18,0.5,20,26,30,11
20200402,12,新华路,35,优,NaN,15,35,0.6,27,22,33,5
20200402,12,鉴湖路,30,优,NaN,9,30,0.6,23,28,37,7
20200402,13,马鞍山,22,优,NaN,15,16,0.5,8,33,34,2
20200402,13,市环保站,27,优,NaN,12,27,0.5,25,30,27,5
20200402,13,太慈桥,33,优,NaN,14,33,0.7,21,18,21,6
20200402,13,桐木岭,25,优,NaN,17,17,0.7,5,53,55,7
20200402,13,燕子冲,28,优,NaN,19,20,0.6,10,36,39,7
20200402,13,碧云窝,35,优,NaN,17,35,0.7,32,19,23,15
20200402,13,中院村,27,优,NaN,15,27,0.7,28,17,23,15
20200402,13,红边门,25,优,NaN,17,19,0.5,16,30,29,12
20200402,13,新华路,31,优,NaN,17,31,0.6,18,30,32,5
20200402,13,鉴湖路,30,优,NaN,13,30,0.6,22,30,36,7
20200402,14,马鞍山,22,优,NaN,15,17,0.5,8,33,33,2
20200402,14,市环保站,30,优,NaN,21,27,0.5,20,36,27,5
20200402,14,太慈桥,38,优,NaN,20,38,0.6,17,25,20,6
20200402,14,桐木岭,26,优,NaN,18,25,0.7,6,51,54,8
20200402,14,燕子冲,32,优,NaN,22,22,0.6,9,38,38,NaN
20200402,14,碧云窝,45,优,NaN,29,45,0.6,33,14,20,11
20200402,14,中院村,34,优,NaN,22,34,0.7,25,24,21,16
20200402,14,红边门,21,优,NaN,13,21,0.5,16,31,28,11
20200402,14,新华路,29,优,NaN,15,29,0.5,14,36,31,5
20200402,14,鉴湖路,30,优,NaN,10,30,0.6,18,34,34,7
20200402,15,马鞍山,22,优,NaN,15,17,0.5,8,34,32,3
20200402,15,市环保站,28,优,NaN,8,28,0.5,26,31,25,5
20200402,15,太慈桥,35,优,NaN,17,35,0.6,17,25,18,6
20200402,15,桐木岭,30,优,NaN,21,25,0.7,6,51,53,8
20200402,15,燕子冲,NaN,,NaN,NaN,NaN,0.6,11,37,37,7
20200402,15,碧云窝,49,优,NaN,29,49,0.7,NaN,16,17,NaN
20200402,15,中院村,36,优,NaN,18,36,0.6,23,26,20,15
20200402,15,红边门,23,优,NaN,16,23,0.5,16,31,27,10
20200402,15,新华路,27,优,NaN,15,27,0.5,14,36,30,5
20200402,15,鉴湖路,33,优,NaN,15,33,0.6,22,30,32,7
20200402,16,马鞍山,20,优,NaN,14,19,0.5,8,37,32,2
20200402,16,市环保站,43,优,NaN,11,43,0.4,22,35,26,5
20200402,16,太慈桥,44,优,NaN,19,44,0.5,15,29,18,5
20200402,16,桐木岭,29,优,NaN,16,29,0.7,7,50,52,8
20200402,16,燕子冲,30,优,NaN,21,25,0.6,10,38,37,7
20200402,16,碧云窝,56,良,颗粒物(PM10),28,62,NaN,NaN,18,16,9
20200402,16,中院村,32,优,NaN,17,32,0.6,22,28,20,13
20200402,16,红边门,31,优,NaN,16,31,0.5,18,30,27,10
20200402,16,新华路,30,优,NaN,15,30,0.5,20,33,30,5
20200402,16,鉴湖路,35,优,NaN,16,35,0.6,24,28,31,7
20200402,17,马鞍山,16,优,NaN,11,16,0.5,9,38,33,2
20200402,17,市环保站,25,优,NaN,17,23,0.6,27,33,28,5
20200402,17,太慈桥,29,优,NaN,15,29,0.6,16,30,20,5
20200402,17,桐木岭,26,优,NaN,18,19,0.7,7,50,52,8
20200402,17,燕子冲,30,优,NaN,21,NaN,0.6,10,38,37,6
20200402,17,碧云窝,NaN,,NaN,NaN,NaN,0.6,26,16,16,10
20200402,17,中院村,26,优,NaN,15,26,0.6,20,33,21,15
20200402,17,红边门,23,优,NaN,14,23,0.5,18,33,28,10
20200402,17,新华路,28,优,NaN,17,28,0.5,16,39,30,5
20200402,17,鉴湖路,33,优,NaN,12,33,0.6,23,31,30,7
20200402,18,马鞍山,16,优,NaN,11,NaN,0.5,10,37,34,2
20200402,18,市环保站,26,优,NaN,9,26,0.7,27,37,31,5
20200402,18,太慈桥,31,优,NaN,10,31,0.6,16,32,23,5
20200402,18,桐木岭,23,优,NaN,16,21,0.7,9,49,51,8
20200402,18,燕子冲,32,优,NaN,22,NaN,0.6,10,41,38,6
20200402,18,碧云窝,38,优,NaN,22,38,0.6,25,19,17,10
20200402,18,中院村,20,优,NaN,14,20,0.6,20,36,24,15
20200402,18,红边门,23,优,NaN,12,23,0.5,18,36,30,11
20200402,18,新华路,25,优,NaN,10,25,0.5,17,40,32,5
20200402,18,鉴湖路,23,优,NaN,7,23,0.6,21,36,30,7
20200402,19,马鞍山,16,优,NaN,11,NaN,0.5,12,37,35,2
20200402,19,市环保站,34,优,NaN,14,34,0.6,24,42,34,5
20200402,19,太慈桥,33,优,NaN,9,33,0.5,13,39,27,4
20200402,19,桐木岭,23,优,NaN,16,23,0.7,9,46,50,8
20200402,19,燕子冲,29,优,NaN,20,24,0.6,10,44,38,8
20200402,19,碧云窝,40,优,NaN,17,40,0.6,22,27,18,8
20200402,19,中院村,26,优,NaN,18,19,0.7,18,43,28,13
20200402,19,红边门,22,优,NaN,12,22,0.6,22,34,31,11
20200402,19,新华路,25,优,NaN,17,25,0.5,17,44,35,5
20200402,19,鉴湖路,22,优,NaN,8,22,0.6,20,38,32,7
20200402,20,马鞍山,16,优,NaN,11,11,0.5,10,38,36,2
20200402,20,市环保站,31,优,NaN,10,31,0.6,29,38,35,4
20200402,20,太慈桥,31,优,NaN,12,31,0.5,13,45,30,4
20200402,20,桐木岭,23,优,NaN,16,22,0.7,11,43,49,9
20200402,20,燕子冲,33,优,NaN,23,23,0.6,10,42,39,8
20200402,20,碧云窝,33,优,NaN,17,33,0.6,18,34,20,7
20200402,20,中院村,25,优,NaN,14,25,0.8,18,46,32,12
20200402,20,红边门,24,优,NaN,16,24,0.6,22,35,32,12
20200402,20,新华路,25,优,NaN,14,25,0.5,15,49,38,4
20200402,20,鉴湖路,22,优,NaN,6,22,0.6,19,41,34,7
20200402,20,马鞍山,16,优,NaN,11,11,0.5,10,38,36,2
20200402,20,市环保站,31,优,NaN,10,31,0.6,29,38,35,4
