Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200402,08,莲花山,58,良,细颗粒物(PM2.5),41,62,0.4,18,41,55,10
20200402,08,资阳中学,67,良,细颗粒物(PM2.5),48,65,0.7,25,36,56,10
20200402,08,四三一厂,62,良,颗粒物(PM10),39,73,0.7,26,42,59,12
20200402,08,师范校,74,良,细颗粒物(PM2.5),54,59,0.6,28,39,56,14
20200402,08,区法院,56,良,颗粒物(PM10),33,62,0.7,26,38,55,12
20200402,09,莲花山,57,良,细颗粒物(PM2.5),40,49,0.4,22,41,51,13
20200402,09,资阳中学,60,良,细颗粒物(PM2.5),43,64,0.7,25,36,52,10
20200402,09,四三一厂,68,良,颗粒物(PM10),43,85,0.8,46,29,54,13
20200402,09,师范校,63,良,细颗粒物(PM2.5),45,51,0.6,34,36,52,14
20200402,09,区法院,56,良,颗粒物(PM10),30,62,0.7,27,41,52,13
20200402,10,莲花山,51,良,颗粒物(PM10),35,51,0.3,18,48,49,10
20200402,10,资阳中学,52,良,细颗粒物(PM2.5),36,49,0.6,21,53,51,11
20200402,10,四三一厂,65,良,颗粒物(PM10),43,79,0.7,40,41,51,11
20200402,10,师范校,52,良,细颗粒物(PM2.5),36,52,0.5,27,51,51,14
20200402,10,区法院,54,良,颗粒物(PM10),31,58,0.6,23,51,50,12
20200402,11,莲花山,53,良,颗粒物(PM10),29,55,0.3,14,63,48,11
20200402,11,资阳中学,46,优,NaN,32,42,0.6,14,68,51,11
20200402,11,四三一厂,53,良,颗粒物(PM10),34,55,0.6,25,64,51,12
20200402,11,师范校,50,优,NaN,29,50,0.5,25,63,50,13
20200402,11,区法院,54,良,颗粒物(PM10),33,57,0.6,20,64,50,11
20200402,12,莲花山,47,优,NaN,32,47,0.3,12,60,49,7
20200402,12,资阳中学,40,优,NaN,25,40,0.6,13,67,52,9
20200402,12,四三一厂,44,优,NaN,20,44,0.6,22,65,51,10
20200402,12,师范校,42,优,NaN,29,38,0.5,24,61,50,9
20200402,12,区法院,47,优,NaN,31,47,0.6,17,66,51,8
20200402,13,莲花山,41,优,NaN,28,41,0.3,13,58,50,7
20200402,13,资阳中学,33,优,NaN,19,33,0.5,14,64,53,8
20200402,13,四三一厂,39,优,NaN,18,39,0.6,21,64,52,8
20200402,13,师范校,45,优,NaN,31,37,0.5,25,57,51,8
20200402,13,区法院,38,优,NaN,22,38,0.6,18,64,53,7
20200402,14,莲花山,45,优,NaN,14,45,0.3,12,65,53,6
