Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200402,08,松山一中,36,优,NaN,18,36,0.7,41,33,28,18
20200402,08,哈达街,41,优,NaN,2,41,0.5,36,41,40,11
20200402,08,天义路,24,优,NaN,2,24,0.7,18,57,57,8
20200402,08,松山路,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,08,银河街,83,良,颗粒物(PM10),54,116,2.2,30,30,31,62
20200402,09,松山一中,48,优,NaN,15,48,0.6,38,38,28,8
20200402,09,哈达街,43,优,NaN,2,43,0.5,35,45,40,9
20200402,09,天义路,32,优,NaN,2,32,0.6,12,71,56,5
20200402,09,松山路,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,09,银河街,93,良,细颗粒物(PM2.5),69,128,1.9,28,49,32,60
20200402,10,松山一中,46,优,NaN,12,46,0.4,13,66,31,6
20200402,10,哈达街,40,优,NaN,2,40,0.4,21,63,44,8
20200402,10,天义路,34,优,NaN,2,34,0.6,10,76,58,5
20200402,10,松山路,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,10,银河街,90,良,颗粒物(PM10),64,129,1.2,24,67,36,34
20200402,11,松山一中,37,优,NaN,7,37,0.4,12,71,36,7
20200402,11,哈达街,30,优,NaN,2,30,0.4,15,70,48,8
20200402,11,天义路,28,优,NaN,3,28,0.6,9,82,62,5
20200402,11,松山路,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,11,银河街,70,良,颗粒物(PM10),47,90,0.6,8,82,42,10
20200402,12,松山一中,24,优,NaN,6,24,0.4,12,76,41,6
20200402,12,哈达街,24,优,NaN,2,24,0.3,12,73,52,9
20200402,12,天义路,28,优,NaN,3,24,0.6,8,87,67,5
20200402,12,松山路,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,12,银河街,55,良,颗粒物(PM10),29,60,0.5,4,88,49,6
20200402,13,松山一中,25,优,NaN,3,18,0.4,7,80,48,5
20200402,13,哈达街,25,优,NaN,4,25,0.3,13,74,57,11
20200402,13,天义路,28,优,NaN,2,18,0.6,7,89,71,5
20200402,13,松山路,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,13,银河街,31,优,NaN,13,31,0.4,4,91,57,7
20200402,14,松山一中,25,优,NaN,2,22,0.4,7,80,57,5
20200402,14,哈达街,29,优,NaN,9,29,0.3,11,75,61,10
20200402,14,天义路,29,优,NaN,2,20,0.6,5,92,75,5
20200402,14,松山路,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,14,银河街,36,优,NaN,12,36,0.3,3,90,65,6
20200402,14,松山一中,25,优,NaN,2,22,0.4,7,80,57,5
20200402,14,哈达街,29,优,NaN,9,29,0.3,11,75,61,10
20200402,14,天义路,29,优,NaN,2,20,0.6,5,92,75,5
20200402,14,松山路,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,14,银河街,36,优,NaN,12,36,0.3,3,90,65,6
