Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200402,08,宏伟区,46,优,NaN,17,46,1.0,30,57,56,17
20200402,08,新华园,83,良,颗粒物(PM10),58,116,1.9,42,48,43,28
20200402,08,滨河路,77,良,细颗粒物(PM2.5),56,74,1.2,42,48,48,20
20200402,08,铁西工业园,110,轻度污染,细颗粒物(PM2.5),83,130,3.3,60,29,34,42
20200402,09,宏伟区,54,良,颗粒物(PM10),20,58,1.2,29,60,56,20
20200402,09,新华园,56,良,颗粒物(PM10),39,61,2.8,48,48,44,41
20200402,09,滨河路,69,良,颗粒物(PM10),35,87,1.9,38,56,49,26
20200402,09,铁西工业园,96,良,颗粒物(PM10),56,141,2.0,48,43,36,33
20200402,11,宏伟区,67,良,颗粒物(PM10),30,84,1.1,25,71,60,20
20200402,11,新华园,77,良,颗粒物(PM10),49,103,3.1,55,52,46,50
20200402,11,滨河路,69,良,颗粒物(PM10),44,88,2.5,44,60,53,35
20200402,11,铁西工业园,86,良,颗粒物(PM10),43,121,1.7,42,56,42,26
20200402,12,宏伟区,NaN,,NaN,NaN,NaN,1.4,27,73,62,22
20200402,12,新华园,69,良,颗粒物(PM10),35,87,1.9,40,69,49,33
20200402,12,滨河路,70,良,颗粒物(PM10),31,89,1.9,35,69,55,28
20200402,12,铁西工业园,76,良,颗粒物(PM10),32,102,1.6,34,65,45,26
20200402,13,宏伟区,76,良,颗粒物(PM10),26,101,2.1,31,77,65,27
20200402,13,新华园,49,优,NaN,21,49,0.9,24,89,54,17
20200402,13,滨河路,62,良,颗粒物(PM10),17,73,0.9,15,91,60,12
20200402,13,铁西工业园,58,良,颗粒物(PM10),16,65,1.0,17,85,50,14
20200402,14,宏伟区,61,良,颗粒物(PM10),19,71,1.2,20,86,69,19
20200402,14,新华园,35,优,NaN,14,35,0.8,17,92,61,14
20200402,14,滨河路,43,优,NaN,10,43,0.7,8,94,65,8
20200402,14,铁西工业园,48,优,NaN,11,48,1.0,19,81,56,16
20200402,15,宏伟区,44,优,NaN,14,44,1.2,17,85,72,16
20200402,15,新华园,29,优,NaN,14,28,0.8,16,91,67,15
20200402,15,滨河路,31,优,NaN,10,31,0.7,10,93,71,10
20200402,15,铁西工业园,53,良,颗粒物(PM10),13,56,0.9,21,81,62,15
20200402,16,宏伟区,39,优,NaN,12,39,1.1,16,86,76,14
20200402,16,新华园,34,优,NaN,17,34,0.8,17,91,73,16
20200402,16,滨河路,40,优,NaN,12,40,0.8,12,93,77,10
20200402,16,铁西工业园,56,良,颗粒物(PM10),16,62,0.8,24,80,68,15
20200402,17,宏伟区,34,优,NaN,14,34,1.1,20,82,79,15
20200402,17,新华园,37,优,NaN,18,37,1.4,24,80,77,21
20200402,17,滨河路,44,优,NaN,14,44,1.3,21,85,80,15
20200402,17,铁西工业园,52,良,颗粒物(PM10),16,53,0.8,28,74,72,10
20200402,18,宏伟区,52,良,颗粒物(PM10),18,53,1.0,28,71,79,16
20200402,18,新华园,46,优,NaN,22,46,1.5,32,67,79,23
20200402,18,滨河路,46,优,NaN,18,46,1.4,28,74,82,15
20200402,18,铁西工业园,83,良,细颗粒物(PM2.5),61,77,1.1,46,66,74,23
20200402,19,宏伟区,58,良,颗粒物(PM10),25,65,1.3,36,61,78,20
20200402,19,新华园,58,良,细颗粒物(PM2.5),41,47,2.0,46,47,78,32
20200402,19,滨河路,53,良,颗粒物(PM10),30,55,1.3,32,66,83,14
20200402,19,铁西工业园,105,轻度污染,颗粒物(PM10),74,159,1.4,50,42,72,18
20200402,20,宏伟区,60,良,颗粒物(PM10),41,70,1.4,41,58,76,26
20200402,20,新华园,68,良,颗粒物(PM10),39,86,2.6,52,44,75,41
20200402,20,滨河路,63,良,细颗粒物(PM2.5),45,67,2.3,51,48,80,35
20200402,20,铁西工业园,140,轻度污染,细颗粒物(PM2.5),107,134,2.2,55,38,68,22
20200402,20,宏伟区,60,良,颗粒物(PM10),41,70,1.4,41,58,76,26
20200402,20,新华园,68,良,颗粒物(PM10),39,86,2.6,52,44,75,41
20200402,20,滨河路,63,良,细颗粒物(PM2.5),45,67,2.3,51,48,80,35
20200402,20,铁西工业园,140,轻度污染,细颗粒物(PM2.5),107,134,2.2,55,38,68,22
20200402,22,宏伟区,69,良,细颗粒物(PM2.5),50,74,1.5,36,62,72,24
20200402,22,新华园,93,良,细颗粒物(PM2.5),69,91,1.9,46,52,66,37
20200402,22,滨河路,83,良,细颗粒物(PM2.5),61,80,1.4,39,60,72,37
20200402,22,铁西工业园,180,中度污染,细颗粒物(PM2.5),136,157,3.4,NaN,10,51,61
20200402,23,宏伟区,93,良,细颗粒物(PM2.5),69,98,1.5,36,62,69,23
20200402,23,新华园,119,轻度污染,细颗粒物(PM2.5),90,133,2.2,42,58,61,35
20200402,23,滨河路,114,轻度污染,细颗粒物(PM2.5),86,93,1.8,46,54,68,32
20200402,23,铁西工业园,142,轻度污染,细颗粒物(PM2.5),108,176,3.4,NaN,17,43,40
20200403,00,宏伟区,90,良,细颗粒物(PM2.5),67,96,1.4,35,62,66,23
20200403,00,新华园,114,轻度污染,细颗粒物(PM2.5),86,115,2.2,45,54,57,35
20200403,00,滨河路,109,轻度污染,细颗粒物(PM2.5),82,104,1.6,43,52,62,21
20200403,00,铁西工业园,120,轻度污染,细颗粒物(PM2.5),91,131,2.6,NaN,29,36,32
20200403,01,宏伟区,89,良,细颗粒物(PM2.5),66,93,1.4,33,64,64,22
20200403,01,新华园,108,轻度污染,细颗粒物(PM2.5),81,129,1.9,45,53,53,33
