Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200402,08,烟厂,78,良,细颗粒物(PM2.5),57,NaN,0.7,45,31,47,9
20200402,08,郑纺机,79,良,细颗粒物(PM2.5),58,69,0.7,38,39,52,8
20200402,08,银行学校,89,良,细颗粒物(PM2.5),66,NaN,0.5,39,21,40,8
20200402,08,供水公司,82,良,细颗粒物(PM2.5),60,NaN,0.7,48,14,33,7
20200402,08,经开区管委,72,良,细颗粒物(PM2.5),52,63,0.8,28,34,46,5
20200402,08,四十七中,72,良,细颗粒物(PM2.5),52,52,0.9,39,20,30,6
20200402,08,市监测站,77,良,细颗粒物(PM2.5),56,65,1.1,32,40,48,10
20200402,08,河医大,77,良,细颗粒物(PM2.5),56,NaN,0.7,32,33,40,6
20200402,08,岗李水库,51,良,颗粒物(PM10),29,51,0.7,6,138,120,3
20200402,08,岗李水库(对照点),74,良,细颗粒物(PM2.5),54,60,0.7,38,10,29,3
20200402,09,烟厂,78,良,细颗粒物(PM2.5),57,66,0.7,50,32,43,9
20200402,09,郑纺机,78,良,细颗粒物(PM2.5),57,66,0.7,40,43,50,8
20200402,09,银行学校,89,良,细颗粒物(PM2.5),66,NaN,0.4,36,32,38,8
20200402,09,供水公司,92,良,细颗粒物(PM2.5),68,69,0.7,40,22,30,9
20200402,09,经开区管委,72,良,细颗粒物(PM2.5),52,60,0.8,34,32,43,5
20200402,09,四十七中,72,良,细颗粒物(PM2.5),52,54,0.9,41,19,27,6
20200402,09,市监测站,77,良,细颗粒物(PM2.5),56,72,1.1,36,37,46,9
20200402,09,河医大,77,良,细颗粒物(PM2.5),56,NaN,0.7,36,33,38,5
20200402,09,岗李水库,51,良,颗粒物(PM10),29,51,0.7,6,138,120,3
20200402,09,岗李水库(对照点),85,良,细颗粒物(PM2.5),63,NaN,0.8,31,18,26,4
20200402,10,烟厂,77,良,细颗粒物(PM2.5),56,60,0.7,42,52,42,9
20200402,10,郑纺机,79,良,细颗粒物(PM2.5),58,62,0.6,41,45,48,8
20200402,10,银行学校,90,良,细颗粒物(PM2.5),67,NaN,0.4,36,36,36,7
20200402,10,供水公司,92,良,细颗粒物(PM2.5),68,75,0.7,37,27,28,7
20200402,10,经开区管委,70,良,细颗粒物(PM2.5),51,62,0.7,36,37,41,5
20200402,10,四十七中,74,良,细颗粒物(PM2.5),54,56,0.9,32,38,26,6
20200402,10,市监测站,78,良,细颗粒物(PM2.5),57,76,1.1,36,42,44,10
20200402,10,河医大,79,良,细颗粒物(PM2.5),58,NaN,0.7,36,34,37,6
20200402,10,岗李水库,51,良,颗粒物(PM10),29,51,0.7,6,138,120,3
20200402,10,岗李水库(对照点),95,良,细颗粒物(PM2.5),71,NaN,0.8,25,26,24,4
20200402,11,烟厂,84,良,细颗粒物(PM2.5),62,NaN,0.8,42,49,41,8
20200402,11,郑纺机,84,良,细颗粒物(PM2.5),62,72,0.6,39,42,46,7
20200402,11,银行学校,92,良,细颗粒物(PM2.5),68,NaN,0.4,31,42,34,7
20200402,11,供水公司,92,良,细颗粒物(PM2.5),68,68,0.6,33,32,27,6
20200402,11,经开区管委,74,良,细颗粒物(PM2.5),54,56,0.7,26,59,42,5
20200402,11,四十七中,78,良,细颗粒物(PM2.5),57,NaN,0.8,27,51,27,6
20200402,11,市监测站,NaN,,NaN,NaN,NaN,1.0,37,35,42,NaN
20200402,11,河医大,87,良,细颗粒物(PM2.5),64,NaN,0.7,39,24,34,6
20200402,11,岗李水库,51,良,颗粒物(PM10),29,51,0.7,6,138,120,3
20200402,11,岗李水库(对照点),105,轻度污染,细颗粒物(PM2.5),79,NaN,0.9,18,32,23,5
20200402,12,烟厂,89,良,细颗粒物(PM2.5),66,79,0.7,36,60,42,8
20200402,12,郑纺机,87,良,细颗粒物(PM2.5),64,72,0.6,32,59,46,7
20200402,12,银行学校,102,轻度污染,细颗粒物(PM2.5),76,NaN,0.5,30,45,34,6
20200402,12,供水公司,99,良,细颗粒物(PM2.5),74,NaN,0.7,28,39,27,5
20200402,12,经开区管委,82,良,细颗粒物(PM2.5),60,NaN,0.7,26,60,42,5
20200402,12,四十七中,88,良,细颗粒物(PM2.5),65,NaN,0.9,26,51,28,5
20200402,12,市监测站,89,良,细颗粒物(PM2.5),66,101,1.0,NaN,47,41,9
20200402,12,河医大,90,良,细颗粒物(PM2.5),67,NaN,0.6,35,34,32,5
20200402,12,岗李水库,51,良,颗粒物(PM10),29,51,0.7,6,138,120,3
20200402,12,岗李水库(对照点),109,轻度污染,细颗粒物(PM2.5),82,NaN,0.9,17,43,25,6
20200402,13,烟厂,99,良,细颗粒物(PM2.5),74,86,0.7,38,51,42,7
20200402,13,郑纺机,98,良,细颗粒物(PM2.5),73,NaN,0.7,31,57,47,6
20200402,13,银行学校,109,轻度污染,细颗粒物(PM2.5),82,NaN,0.5,30,47,36,6
20200402,13,供水公司,104,轻度污染,细颗粒物(PM2.5),78,NaN,0.6,27,52,30,5
20200402,13,经开区管委,92,良,细颗粒物(PM2.5),68,NaN,0.8,23,62,44,4
20200402,13,四十七中,99,良,细颗粒物(PM2.5),74,75,1.0,27,44,30,4
20200402,13,市监测站,90,良,细颗粒物(PM2.5),67,101,0.7,29,NaN,40,8
20200402,13,河医大,98,良,细颗粒物(PM2.5),73,NaN,0.7,30,41,32,5
20200402,13,岗李水库,51,良,颗粒物(PM10),29,51,0.7,6,138,120,3
