Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200402,08,马头岭,21,优,NaN,13,21,0.7,19,18,28,6
20200402,08,市职中,32,优,NaN,22,NaN,0.6,21,13,22,6
20200402,08,兴隆步行街,19,优,NaN,10,19,0.9,19,17,26,7
20200402,08,市审计局,28,优,NaN,19,NaN,0.7,22,13,21,4
20200402,08,市环保局,19,优,NaN,13,13,0.6,25,15,21,5
20200402,09,马头岭,18,优,NaN,7,18,0.7,24,15,26,5
20200402,09,市职中,32,优,NaN,22,NaN,0.6,30,11,20,7
20200402,09,兴隆步行街,19,优,NaN,13,15,0.9,24,12,24,7
20200402,09,市审计局,25,优,NaN,17,17,0.7,28,8,19,6
20200402,09,市环保局,20,优,NaN,14,NaN,0.6,27,15,21,5
20200402,10,马头岭,22,优,NaN,7,22,0.7,18,21,24,5
20200402,10,市职中,25,优,NaN,17,NaN,0.5,35,NaN,19,9
20200402,10,兴隆步行街,25,优,NaN,16,25,0.8,19,20,24,8
20200402,10,市审计局,25,优,NaN,17,19,0.7,20,20,19,5
20200402,10,市环保局,20,优,NaN,14,NaN,0.6,23,18,21,5
20200402,11,马头岭,24,优,NaN,5,24,0.7,14,28,24,6
20200402,11,市职中,NaN,,NaN,NaN,NaN,0.6,NaN,15,18,NaN
20200402,11,兴隆步行街,29,优,NaN,20,22,0.8,19,19,22,7
20200402,11,市审计局,28,优,NaN,19,28,0.7,15,26,20,4
20200402,11,市环保局,22,优,NaN,15,15,0.5,26,16,20,5
20200402,12,马头岭,22,优,NaN,8,22,0.7,13,29,23,6
20200402,12,市职中,30,优,NaN,21,27,0.6,24,14,17,7
20200402,12,兴隆步行街,28,优,NaN,18,28,0.8,18,21,22,7
20200402,12,市审计局,24,优,NaN,14,24,0.6,16,NaN,20,4
20200402,12,市环保局,25,优,NaN,17,22,0.6,26,16,19,5
20200402,13,马头岭,23,优,NaN,11,23,0.7,14,31,24,9
20200402,13,市职中,25,优,NaN,17,25,0.6,15,21,16,7
20200402,13,兴隆步行街,28,优,NaN,19,23,0.8,14,28,22,8
20200402,13,市审计局,32,优,NaN,14,32,0.7,16,26,20,NaN
20200402,13,市环保局,26,优,NaN,16,26,0.5,25,19,18,5
20200402,14,马头岭,25,优,NaN,13,25,0.7,11,32,25,10
20200402,14,市职中,20,优,NaN,14,18,0.6,20,19,16,7
20200402,14,兴隆步行街,28,优,NaN,19,22,0.8,15,26,21,8
20200402,14,市审计局,NaN,,NaN,NaN,NaN,0.7,NaN,25,20,5
20200402,14,市环保局,33,优,NaN,23,26,0.6,24,19,17,5
