Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200402,08,综合楼,53,良,颗粒物(PM10),16,55,0.6,33,54,42,16
20200402,08,巴音孟克林场办事处,46,优,NaN,17,46,0.6,38,48,50,33
20200402,08,康泽苑,38,优,NaN,9,38,0.6,29,44,58,13
20200402,08,华泰汽车城,35,优,NaN,16,35,0.7,37,34,44,15
20200402,08,奥林花园,48,优,NaN,18,48,0.7,29,61,53,15
20200402,09,综合楼,45,优,NaN,14,45,0.7,33,57,41,19
20200402,09,巴音孟克林场办事处,29,优,NaN,12,29,0.7,38,51,49,43
20200402,09,康泽苑,39,优,NaN,9,39,0.6,28,58,56,15
20200402,09,华泰汽车城,44,优,NaN,20,44,0.7,22,58,44,14
20200402,09,奥林花园,44,优,NaN,11,44,0.7,30,62,51,19
20200402,10,综合楼,59,良,颗粒物(PM10),13,67,0.6,21,68,42,15
20200402,10,巴音孟克林场办事处,41,优,NaN,14,41,0.7,31,58,48,32
20200402,10,康泽苑,41,优,NaN,12,41,0.6,20,76,57,14
20200402,10,华泰汽车城,58,良,颗粒物(PM10),28,66,0.5,15,76,45,13
20200402,10,奥林花园,53,良,颗粒物(PM10),15,55,0.7,26,65,53,18
20200402,11,综合楼,52,良,颗粒物(PM10),13,54,0.6,14,85,48,11
20200402,11,巴音孟克林场办事处,53,良,颗粒物(PM10),19,56,0.5,16,79,50,19
20200402,11,康泽苑,41,优,NaN,9,41,0.5,14,92,60,11
20200402,11,华泰汽车城,46,优,NaN,19,46,0.5,8,93,51,10
20200402,11,奥林花园,61,良,颗粒物(PM10),18,71,0.6,15,86,57,12
20200402,12,综合楼,46,优,NaN,13,46,0.6,12,94,57,10
20200402,12,巴音孟克林场办事处,40,优,NaN,13,40,0.5,11,93,56,10
20200402,12,康泽苑,36,优,NaN,5,36,0.5,15,96,65,10
20200402,12,华泰汽车城,42,优,NaN,13,42,0.5,8,99,56,10
20200402,12,奥林花园,41,优,NaN,13,41,0.6,14,94,66,11
20200402,13,综合楼,41,优,NaN,11,41,0.5,9,100,65,10
20200402,13,巴音孟克林场办事处,35,优,NaN,11,35,0.5,8,102,63,11
20200402,13,康泽苑,33,优,NaN,6,33,0.5,14,100,70,9
20200402,13,华泰汽车城,53,良,颗粒物(PM10),14,56,0.5,8,102,64,9
20200402,13,奥林花园,38,优,NaN,9,38,0.6,13,NaN,68,10
20200402,14,综合楼,34,优,NaN,8,34,0.5,10,107,75,11
20200402,14,巴音孟克林场办事处,34,优,NaN,15,29,0.5,11,107,72,12
20200402,14,康泽苑,33,优,NaN,4,28,0.5,15,103,77,8
20200402,14,华泰汽车城,33,优,NaN,12,31,0.5,8,103,74,9
20200402,14,奥林花园,39,优,NaN,13,39,0.6,12,NaN,70,11
20200402,15,综合楼,34,优,NaN,10,33,0.5,12,106,84,9
20200402,15,巴音孟克林场办事处,51,良,颗粒物(PM10),15,52,0.5,13,103,80,12
20200402,15,康泽苑,33,优,NaN,2,29,0.5,14,104,84,8
20200402,15,华泰汽车城,35,优,NaN,10,35,0.4,7,104,84,9
20200402,15,奥林花园,44,优,NaN,15,44,0.6,14,NaN,74,11
20200402,16,综合楼,42,优,NaN,10,42,0.5,13,108,91,6
20200402,16,巴音孟克林场办事处,42,优,NaN,14,42,0.5,9,107,88,10
20200402,16,康泽苑,35,优,NaN,4,25,0.5,14,109,92,9
20200402,16,华泰汽车城,45,优,NaN,17,45,0.4,7,110,93,9
20200402,16,奥林花园,48,优,NaN,9,48,0.7,16,NaN,77,10
20200402,17,综合楼,47,优,NaN,9,47,0.5,12,120,98,7
20200402,17,巴音孟克林场办事处,37,优,NaN,11,33,0.5,9,118,96,9
20200402,17,康泽苑,35,优,NaN,3,27,0.5,17,109,99,10
20200402,17,华泰汽车城,35,优,NaN,14,33,0.5,9,110,100,9
20200402,17,奥林花园,NaN,,NaN,NaN,NaN,0.5,14,NaN,82,9
20200402,18,综合楼,41,优,NaN,14,41,0.5,18,124,106,8
20200402,18,巴音孟克林场办事处,41,优,NaN,22,29,0.5,11,129,105,11
20200402,18,康泽苑,34,优,NaN,7,34,0.5,15,108,103,9
20200402,18,华泰汽车城,50,优,NaN,20,50,0.5,9,110,104,9
20200402,18,奥林花园,50,优,NaN,17,50,0.6,15,NaN,90,9
20200402,19,综合楼,47,优,NaN,19,47,0.5,22,116,109,8
20200402,19,巴音孟克林场办事处,38,优,NaN,24,35,0.5,12,119,110,11
20200402,19,康泽苑,40,优,NaN,7,40,0.5,19,113,105,10
20200402,19,华泰汽车城,55,良,颗粒物(PM10),17,59,0.6,13,113,106,10
20200402,19,奥林花园,51,良,颗粒物(PM10),24,51,0.6,19,116,105,10
