Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200402,08,市政府,48,优,NaN,33,38,0.9,35,26,28,9
20200402,08,赵家坝,45,优,NaN,31,42,0.8,31,24,31,7
20200402,08,凡口开发区,54,良,颗粒物(PM10),33,58,0.8,30,18,18,7
20200402,09,市政府,57,良,细颗粒物(PM2.5),40,42,0.9,22,44,28,8
20200402,09,赵家坝,47,优,NaN,19,47,0.7,24,40,32,4
20200402,09,凡口开发区,55,良,颗粒物(PM10),37,59,0.8,38,22,16,8
20200402,10,市政府,46,优,NaN,32,42,0.9,23,44,31,9
20200402,10,赵家坝,47,优,NaN,21,47,0.7,19,50,36,6
20200402,10,凡口开发区,53,良,颗粒物(PM10),32,56,0.8,27,47,19,8
20200402,11,市政府,39,优,NaN,27,39,0.7,16,63,37,9
20200402,11,赵家坝,42,优,NaN,25,42,0.7,14,67,40,5
20200402,11,凡口开发区,51,良,颗粒物(PM10),34,51,0.8,23,51,24,9
20200402,12,市政府,58,良,细颗粒物(PM2.5),41,43,0.8,18,66,42,10
20200402,12,赵家坝,38,优,NaN,24,38,0.7,13,76,45,6
20200402,12,凡口开发区,48,优,NaN,29,48,0.8,19,63,30,8
20200402,13,市政府,57,良,细颗粒物(PM2.5),40,41,0.7,15,85,49,9
20200402,13,赵家坝,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,44,NaN
20200402,13,凡口开发区,49,优,NaN,27,49,0.8,18,74,38,8
20200402,14,市政府,48,优,NaN,33,40,0.6,15,78,54,10
20200402,14,赵家坝,50,优,NaN,35,48,0.7,8,88,52,10
20200402,14,凡口开发区,47,优,NaN,25,47,0.7,13,84,46,8
20200402,15,市政府,50,优,NaN,35,50,0.6,18,73,60,9
20200402,15,赵家坝,59,良,细颗粒物(PM2.5),42,47,0.7,10,82,61,7
20200402,15,凡口开发区,51,良,颗粒物(PM10),23,52,0.7,14,82,55,8
20200402,16,市政府,51,良,颗粒物(PM10),34,52,0.6,17,69,65,8
20200402,16,赵家坝,42,优,NaN,21,42,0.7,10,81,69,7
20200402,16,凡口开发区,51,良,颗粒物(PM10),31,52,0.7,14,81,63,7
20200402,17,市政府,46,优,NaN,30,46,0.6,20,71,69,8
20200402,17,赵家坝,32,优,NaN,14,32,0.9,12,82,75,7
20200402,17,凡口开发区,52,良,"
                      颗粒物(PM10)
                      
                      细颗粒物(PM2.5)
                      
",36,53,0.7,15,83,71,7
20200402,18,市政府,42,优,NaN,28,42,0.7,29,62,71,9
20200402,18,赵家坝,50,优,NaN,35,43,1.1,22,72,78,9
20200402,18,凡口开发区,53,良,颗粒物(PM10),24,55,0.8,17,83,75,7
20200402,19,市政府,46,优,NaN,32,41,0.8,32,59,70,9
20200402,19,赵家坝,63,良,细颗粒物(PM2.5),45,59,1.1,24,68,78,10
20200402,19,凡口开发区,53,良,颗粒物(PM10),24,55,0.8,27,72,78,8
20200402,20,市政府,64,良,细颗粒物(PM2.5),46,56,0.8,27,63,70,10
20200402,20,赵家坝,63,良,细颗粒物(PM2.5),45,55,1.0,23,68,77,7
20200402,20,凡口开发区,57,良,"
                      颗粒物(PM10)
                      
                      细颗粒物(PM2.5)
                      
",40,63,0.9,27,70,79,9
20200402,20,市政府,64,良,细颗粒物(PM2.5),46,56,0.8,27,63,70,10
20200402,20,赵家坝,63,良,细颗粒物(PM2.5),45,55,1.0,23,68,77,7
20200402,20,凡口开发区,57,良,"
                      颗粒物(PM10)
                      
                      细颗粒物(PM2.5)
                      
",40,63,0.9,27,70,79,9
20200402,22,市政府,77,良,细颗粒物(PM2.5),56,70,0.9,33,50,63,11
20200402,22,赵家坝,69,良,细颗粒物(PM2.5),50,77,1.0,42,32,68,9
20200402,22,凡口开发区,72,良,细颗粒物(PM2.5),52,80,0.9,28,57,74,9
20200402,23,市政府,72,良,细颗粒物(PM2.5),52,74,0.9,37,44,60,10
20200402,23,赵家坝,70,良,细颗粒物(PM2.5),51,71,0.9,30,43,63,11
20200402,23,凡口开发区,72,良,细颗粒物(PM2.5),52,78,0.9,30,59,71,8
20200403,00,市政府,75,良,细颗粒物(PM2.5),55,74,0.8,34,37,56,13
20200403,00,赵家坝,63,良,颗粒物(PM10),44,75,0.9,34,40,58,15
20200403,00,凡口开发区,66,良,颗粒物(PM10),43,82,1.0,45,30,65,8
20200403,01,市政府,78,良,细颗粒物(PM2.5),57,79,0.7,31,45,45,17
20200403,01,赵家坝,65,良,颗粒物(PM10),42,79,0.9,26,55,55,20
20200403,01,凡口开发区,72,良,细颗粒物(PM2.5),52,80,1.0,32,55,55,9
20200403,02,市政府,73,良,细颗粒物(PM2.5),53,77,0.8,34,42,44,14
20200403,02,赵家坝,65,良,细颗粒物(PM2.5),47,68,0.9,18,73,64,12
20200403,02,凡口开发区,73,良,细颗粒物(PM2.5),53,88,1.0,25,70,62,8
20200403,03,市政府,70,良,细颗粒物(PM2.5),51,78,0.9,49,22,36,14
20200403,03,赵家坝,78,良,细颗粒物(PM2.5),57,65,0.9,22,59,62,10
20200403,03,凡口开发区,82,良,细颗粒物(PM2.5),60,92,1.0,62,22,49,8
20200403,08,市政府,59,良,细颗粒物(PM2.5),42,64,0.7,36,55,63,10
20200403,08,赵家坝,45,优,NaN,29,45,0.7,18,80,76,10
20200403,08,凡口开发区,69,良,颗粒物(PM10),37,88,0.8,27,67,54,8
20200403,09,市政府,57,良,颗粒物(PM10),39,63,0.7,37,55,64,11
20200403,09,赵家坝,54,良,颗粒物(PM10),28,57,0.7,34,63,76,10
20200403,09,凡口开发区,65,良,颗粒物(PM10),35,80,0.8,30,66,56,10
20200403,10,市政府,60,良,细颗粒物(PM2.5),43,67,0.7,35,59,66,11
20200403,10,赵家坝,60,良,颗粒物(PM10),39,69,0.7,35,64,75,9
20200403,10,凡口开发区,64,良,颗粒物(PM10),31,77,0.8,27,66,55,11
20200403,11,市政府,69,良,细颗粒物(PM2.5),50,74,0.7,29,68,72,11
20200403,11,赵家坝,62,良,颗粒物(PM10),39,73,0.7,28,73,77,8
20200403,11,凡口开发区,66,良,颗粒物(PM10),37,81,0.8,29,60,60,11
20200403,12,市政府,63,良,细颗粒物(PM2.5),45,72,0.6,24,77,74,12
20200403,12,赵家坝,58,良,颗粒物(PM10),31,66,0.7,22,87,80,6
20200403,12,凡口开发区,68,良,颗粒物(PM10),36,85,0.8,29,69,64,10
20200403,13,市政府,58,良,颗粒物(PM10),40,66,0.6,22,82,72,12
20200403,13,赵家坝,55,良,"
                      颗粒物(PM10)
                      
                      细颗粒物(PM2.5)
                      
",39,60,0.7,20,89,80,9
20200403,13,凡口开发区,67,良,颗粒物(PM10),36,84,0.8,20,89,69,11
20200403,14,市政府,59,良,"
                      颗粒物(PM10)
                      
                      细颗粒物(PM2.5)
                      
",42,67,0.6,20,93,72,11
20200403,14,赵家坝,58,良,颗粒物(PM10),33,65,0.7,16,104,81,8
20200403,14,凡口开发区,63,良,颗粒物(PM10),39,75,0.8,19,98,73,10
20200403,15,市政府,62,良,细颗粒物(PM2.5),44,69,0.6,20,93,73,11
20200403,15,赵家坝,58,良,颗粒物(PM10),30,65,0.7,16,104,83,8
20200403,15,凡口开发区,63,良,颗粒物(PM10),44,75,0.7,18,103,77,10
20200403,16,市政府,60,良,"
                      颗粒物(PM10)
                      
                      细颗粒物(PM2.5)
                      
",43,70,0.6,21,101,78,12
20200403,16,赵家坝,60,良,颗粒物(PM10),37,70,0.7,15,110,87,8
20200403,16,凡口开发区,60,良,颗粒物(PM10),40,69,0.8,23,103,82,10
20200403,17,市政府,64,良,颗粒物(PM10),38,78,0.7,20,104,85,11
20200403,17,赵家坝,61,良,颗粒物(PM10),37,71,0.7,15,113,93,7
20200403,17,凡口开发区,60,良,颗粒物(PM10),38,70,0.8,22,106,87,10
20200403,18,市政府,66,良,颗粒物(PM10),37,81,0.7,30,88,88,11
20200403,18,赵家坝,62,良,细颗粒物(PM2.5),44,69,0.9,24,97,97,7
20200403,18,凡口开发区,69,良,细颗粒物(PM2.5),50,71,0.7,22,110,92,10
20200403,19,市政府,67,良,细颗粒物(PM2.5),48,79,0.9,36,84,90,12
20200403,19,赵家坝,72,良,细颗粒物(PM2.5),52,77,0.9,32,82,98,8
20200403,19,凡口开发区,67,良,细颗粒物(PM2.5),48,78,0.8,35,91,96,11
20200403,20,市政府,75,良,细颗粒物(PM2.5),55,82,0.8,36,81,91,12
20200403,20,赵家坝,83,良,细颗粒物(PM2.5),61,93,0.8,45,69,96,10
20200403,20,凡口开发区,67,良,颗粒物(PM10),38,83,0.9,38,91,99,11
20200403,21,市政府,78,良,细颗粒物(PM2.5),57,91,0.9,31,88,92,15
20200403,21,赵家坝,79,良,细颗粒物(PM2.5),58,95,0.9,40,78,95,11
20200403,21,凡口开发区,66,良,颗粒物(PM10),46,82,1.0,38,74,97,11
20200403,22,市政府,84,良,细颗粒物(PM2.5),62,89,1.4,32,74,89,25
20200403,22,赵家坝,73,良,颗粒物(PM10),51,96,1.1,34,72,91,13
20200403,22,凡口开发区,67,良,细颗粒物(PM2.5),48,82,1.1,28,82,95,13
20200403,23,市政府,94,良,细颗粒物(PM2.5),70,85,1.4,33,60,85,19
20200403,23,赵家坝,88,良,细颗粒物(PM2.5),65,105,1.2,31,62,85,12
20200403,23,凡口开发区,66,良,颗粒物(PM10),43,82,0.9,28,75,92,11
20200404,00,市政府,97,良,细颗粒物(PM2.5),72,87,0.9,24,72,81,12
20200404,00,赵家坝,97,良,细颗粒物(PM2.5),72,105,1.2,31,52,78,6
20200404,00,凡口开发区,67,良,颗粒物(PM10),39,83,0.9,34,62,86,9
20200404,01,市政府,87,良,细颗粒物(PM2.5),64,78,0.7,17,79,79,10
20200404,01,赵家坝,79,良,细颗粒物(PM2.5),58,90,1.3,28,62,62,11
20200404,01,凡口开发区,69,良,颗粒物(PM10),48,88,0.8,20,84,84,9
20200404,02,市政府,72,良,细颗粒物(PM2.5),52,71,0.7,16,77,78,10
20200404,02,赵家坝,64,良,颗粒物(PM10),45,78,1.4,25,65,64,16
20200404,02,凡口开发区,67,良,颗粒物(PM10),47,83,0.8,23,78,81,9
20200404,03,市政府,69,良,细颗粒物(PM2.5),50,74,0.7,16,75,77,9
20200404,03,赵家坝,66,良,颗粒物(PM10),46,82,0.8,23,55,61,10
20200404,03,凡口开发区,68,良,颗粒物(PM10),37,86,0.8,26,67,76,9
20200404,08,市政府,82,良,细颗粒物(PM2.5),60,80,0.7,26,32,59,12
20200404,08,赵家坝,78,良,细颗粒物(PM2.5),57,61,0.9,22,26,44,7
20200404,08,凡口开发区,67,良,颗粒物(PM10),47,84,0.9,26,35,52,8
20200404,09,市政府,87,良,细颗粒物(PM2.5),64,82,1.3,28,36,53,14
20200404,09,赵家坝,73,良,细颗粒物(PM2.5),53,77,0.9,21,32,40,6
20200404,09,凡口开发区,70,良,细颗粒物(PM2.5),51,84,0.8,22,65,49,10
20200404,10,市政府,NaN,,NaN,65,78,NaN,26,53,50,16
20200404,10,赵家坝,67,良,颗粒物(PM10),43,84,0.9,19,59,40,5
20200404,10,凡口开发区,69,良,细颗粒物(PM2.5),50,84,0.8,21,74,49,10
20200404,11,市政府,NaN,,NaN,62,83,NaN,38,58,48,18
20200404,11,赵家坝,70,良,细颗粒物(PM2.5),51,76,0.9,18,76,42,7
20200404,11,凡口开发区,68,良,"
                      颗粒物(PM10)
                      
                      细颗粒物(PM2.5)
                      
",49,85,0.8,18,93,52,13
20200404,12,市政府,NaN,,NaN,59,96,NaN,28,90,50,16
20200404,12,赵家坝,79,良,细颗粒物(PM2.5),58,85,1.3,19,93,48,15
20200404,12,凡口开发区,73,良,细颗粒物(PM2.5),53,85,0.8,17,111,60,13
20200404,13,市政府,NaN,,NaN,64,99,NaN,23,112,58,16
20200404,13,赵家坝,71,良,颗粒物(PM10),51,92,1.1,17,118,58,13
20200404,13,凡口开发区,70,良,细颗粒物(PM2.5),51,79,0.8,19,121,69,13
20200404,14,市政府,83,良,细颗粒物(PM2.5),61,95,NaN,23,127,68,19
20200404,14,赵家坝,73,良,颗粒物(PM10),52,96,1.3,23,128,70,18
20200404,14,凡口开发区,62,良,细颗粒物(PM2.5),44,72,0.7,16,135,82,12
20200404,15,市政府,NaN,,NaN,57,90,NaN,18,145,82,15
20200404,15,赵家坝,70,良,颗粒物(PM10),47,89,1.1,20,147,85,14
20200404,15,凡口开发区,55,良,细颗粒物(PM2.5),39,58,0.8,18,141,97,12
20200404,16,市政府,82,良,细颗粒物(PM2.5),60,77,NaN,17,148,96,NaN
20200404,16,赵家坝,67,良,细颗粒物(PM2.5),48,80,0.9,20,153,101,12
20200404,16,凡口开发区,55,良,颗粒物(PM10),33,59,0.8,19,145,111,12
20200404,17,市政府,84,良,细颗粒物(PM2.5),62,77,NaN,17,151,110,12
20200404,17,赵家坝,75,良,细颗粒物(PM2.5),55,79,0.9,18,154,116,13
20200404,17,凡口开发区,62,良,细颗粒物(PM2.5),44,60,0.8,20,146,121,10
20200404,18,市政府,83,良,细颗粒物(PM2.5),61,83,0.7,18,145,122,12
20200404,18,赵家坝,83,良,细颗粒物(PM2.5),61,75,0.9,22,148,127,12
20200404,18,凡口开发区,73,良,细颗粒物(PM2.5),53,65,0.8,21,144,130,10
20200404,19,市政府,87,良,细颗粒物(PM2.5),64,87,0.8,31,122,130,13
20200404,19,赵家坝,94,良,细颗粒物(PM2.5),70,79,0.9,28,128,134,14
20200404,19,凡口开发区,74,良,细颗粒物(PM2.5),54,70,0.8,24,130,134,12
20200404,20,市政府,89,良,细颗粒物(PM2.5),66,91,0.8,40,92,130,11
