Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200402,08,四中,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,08,十五中,59,良,细颗粒物(PM2.5),42,57,0.7,48,22,11,5
20200402,08,监测站,65,良,细颗粒物(PM2.5),47,57,0.6,46,26,12,4
20200402,08,武警支队,57,良,细颗粒物(PM2.5),40,50,0.7,54,21,19,9
20200402,09,四中,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,09,十五中,72,良,细颗粒物(PM2.5),52,72,0.7,43,43,15,5
20200402,09,监测站,69,良,细颗粒物(PM2.5),50,78,0.6,36,51,18,4
20200402,09,武警支队,69,良,细颗粒物(PM2.5),50,76,0.7,58,30,22,9
20200402,10,四中,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,10,十五中,69,良,细颗粒物(PM2.5),50,70,0.7,40,60,22,6
20200402,10,监测站,62,良,"
                      颗粒物(PM10)
                      
                      细颗粒物(PM2.5)
                      
",44,73,0.6,32,71,27,6
20200402,10,武警支队,63,良,颗粒物(PM10),38,76,0.6,45,60,28,9
20200402,11,四中,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,11,十五中,72,良,细颗粒物(PM2.5),52,69,0.7,44,65,30,6
20200402,11,监测站,62,良,细颗粒物(PM2.5),44,66,0.6,33,78,36,5
20200402,11,武警支队,58,良,颗粒物(PM10),35,65,0.6,41,72,35,9
20200402,12,四中,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,12,十五中,69,良,细颗粒物(PM2.5),50,70,0.7,45,71,39,6
20200402,12,监测站,59,良,细颗粒物(PM2.5),42,61,0.6,34,83,44,5
20200402,12,武警支队,55,良,颗粒物(PM10),37,60,0.6,40,79,38,9
20200402,13,四中,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,13,十五中,70,良,细颗粒物(PM2.5),51,75,0.7,50,65,46,6
20200402,13,监测站,62,良,细颗粒物(PM2.5),44,70,0.7,40,76,52,6
20200402,13,武警支队,58,良,颗粒物(PM10),35,65,0.6,41,75,45,9
20200402,14,四中,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,14,十五中,71,良,颗粒物(PM10),48,92,0.7,55,63,51,6
20200402,14,监测站,61,良,颗粒物(PM10),40,72,0.7,44,73,60,7
20200402,14,武警支队,58,良,颗粒物(PM10),30,66,0.7,52,65,52,10
20200402,15,四中,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,15,十五中,65,良,颗粒物(PM10),41,80,0.7,50,69,57,5
20200402,15,监测站,61,良,颗粒物(PM10),37,72,0.6,48,70,66,5
20200402,15,武警支队,59,良,颗粒物(PM10),28,68,0.7,50,67,59,11
20200402,16,四中,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,16,十五中,58,良,颗粒物(PM10),39,66,0.7,54,57,62,5
20200402,16,监测站,60,良,颗粒物(PM10),29,70,0.6,56,52,69,4
20200402,16,武警支队,58,良,颗粒物(PM10),28,65,0.6,45,66,64,8
