Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200402,08,市环保站,10,优,NaN,4,10,0.8,13,15,14,5
20200402,08,市农科院,12,优,NaN,6,12,0.7,13,15,15,7
20200402,08,港区一小,18,优,NaN,12,16,0.8,22,NaN,NaN,8
20200402,09,市环保站,9,优,NaN,6,7,0.8,14,16,14,5
20200402,09,市农科院,12,优,NaN,8,8,0.7,15,16,15,5
20200402,09,港区一小,21,优,NaN,12,21,0.7,22,NaN,NaN,6
20200402,10,市环保站,9,优,NaN,6,7,0.8,15,15,15,6
20200402,10,市农科院,15,优,NaN,10,14,0.7,15,16,16,5
20200402,10,港区一小,19,优,NaN,12,19,0.7,22,NaN,NaN,6
20200402,11,市环保站,12,优,NaN,7,10,1.2,19,10,15,13
20200402,11,市农科院,18,优,NaN,12,16,0.7,17,14,16,5
20200402,11,港区一小,28,优,NaN,16,28,0.7,20,2,1,5
20200402,12,市环保站,26,优,NaN,18,23,1.5,20,8,14,31
20200402,12,市农科院,23,优,NaN,14,23,0.7,15,15,15,6
20200402,12,港区一小,27,优,NaN,17,27,0.7,19,4,1,5
20200402,13,市环保站,35,优,NaN,22,35,1.3,18,9,13,35
20200402,13,市农科院,29,优,NaN,20,NaN,0.8,14,16,15,6
20200402,13,港区一小,43,优,NaN,27,43,1.1,19,4,2,9
20200402,14,市环保站,38,优,NaN,26,37,1.8,19,9,12,30
20200402,14,市农科院,38,优,NaN,26,NaN,0.8,15,13,15,5
20200402,14,港区一小,49,优,NaN,31,49,1.4,20,3,2,11
20200402,15,市环保站,46,优,NaN,32,44,2.8,19,8,11,24
20200402,15,市农科院,35,优,NaN,24,32,0.8,15,13,15,6
20200402,15,港区一小,51,良,颗粒物(PM10),32,52,1.6,21,2,2,12
20200402,16,市环保站,51,良,颗粒物(PM10),29,51,1.6,20,8,10,28
20200402,16,市农科院,38,优,NaN,26,30,0.8,16,9,14,6
20200402,16,港区一小,49,优,NaN,29,49,1.4,21,NaN,2,11
20200402,17,市环保站,47,优,NaN,25,47,2.1,20,7,9,36
20200402,17,市农科院,32,优,NaN,22,31,0.7,16,12,14,6
20200402,17,港区一小,56,良,颗粒物(PM10),25,62,0.9,20,NaN,2,6
20200402,18,市环保站,46,优,NaN,29,46,1.0,18,11,9,15
20200402,18,市农科院,30,优,NaN,21,26,0.7,17,16,14,10
20200402,18,港区一小,53,良,颗粒物(PM10),25,56,0.8,22,NaN,2,6
20200402,19,市环保站,37,优,NaN,23,37,0.9,18,11,9,8
20200402,19,市农科院,35,优,NaN,24,26,0.8,19,11,13,10
20200402,19,港区一小,52,良,颗粒物(PM10),21,53,0.8,27,NaN,2,7
20200402,20,市环保站,32,优,NaN,18,32,0.8,19,10,9,6
20200402,20,市农科院,46,优,NaN,32,33,0.8,20,10,12,6
20200402,20,港区一小,42,优,NaN,21,42,0.8,24,NaN,1,6
20200402,20,市环保站,32,优,NaN,18,32,0.8,19,10,9,6
20200402,20,市农科院,46,优,NaN,32,33,0.8,20,10,12,6
20200402,20,港区一小,42,优,NaN,21,42,0.8,24,NaN,1,6
20200402,22,市环保站,34,优,NaN,19,34,2.1,26,5,8,64
20200402,22,市农科院,29,优,NaN,20,21,0.8,21,8,11,6
20200402,22,港区一小,43,优,NaN,19,43,0.8,25,NaN,NaN,5
20200402,23,市环保站,52,良,颗粒物(PM10),28,53,2.5,26,5,8,57
20200402,23,市农科院,33,优,NaN,23,23,0.8,20,7,10,7
20200402,23,港区一小,38,优,NaN,22,38,1.1,26,NaN,NaN,8
20200403,00,市环保站,48,优,NaN,31,48,2.3,25,5,8,50
20200403,00,市农科院,32,优,NaN,22,28,0.8,19,7,10,6
20200403,00,港区一小,38,优,NaN,22,38,1.0,25,NaN,NaN,9
20200403,01,市环保站,55,良,颗粒物(PM10),32,59,2.0,24,5,5,61
20200403,01,市农科院,31,优,NaN,18,31,0.8,18,9,9,6
20200403,01,港区一小,46,优,NaN,22,46,1.1,25,NaN,NaN,10
20200403,02,市环保站,55,良,颗粒物(PM10),23,59,2.9,24,5,5,61
