Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200402,08,市环保监测站,26,优,NaN,7,26,0.1,10,52,58,58
20200402,08,市政府,19,优,NaN,4,16,0.2,6,58,61,31
20200402,09,市环保监测站,34,优,NaN,10,34,0.2,12,51,58,22
20200402,09,市政府,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,10,市环保监测站,40,优,NaN,3,40,0.2,7,68,59,NaN
20200402,10,市政府,23,优,NaN,2,14,0.2,7,71,63,14
20200402,11,市环保监测站,33,优,NaN,6,33,0.2,4,NaN,59,12
20200402,11,市政府,25,优,NaN,2,9,0.1,1,80,66,16
20200402,12,市环保监测站,NaN,,NaN,NaN,NaN,0.1,NaN,79,61,12
20200402,12,市政府,27,优,NaN,2,11,0.1,2,84,69,16
20200402,13,市环保监测站,NaN,,NaN,NaN,NaN,0.1,4,86,65,12
20200402,13,市政府,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,14,市环保监测站,28,优,NaN,13,NaN,0.1,3,88,68,12
20200402,14,市政府,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,15,市环保监测站,28,优,NaN,15,NaN,0.1,4,88,73,14
20200402,15,市政府,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,16,市环保监测站,28,优,NaN,12,22,0.1,4,88,78,12
20200402,16,市政府,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,17,市环保监测站,28,优,NaN,11,21,0.1,4,89,84,12
20200402,17,市政府,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,18,市环保监测站,27,优,NaN,12,22,0.1,5,84,86,12
20200402,18,市政府,29,优,NaN,6,11,0.1,3,90,85,16
20200402,19,市环保监测站,25,优,NaN,12,24,0.2,8,78,85,13
20200402,19,市政府,25,优,NaN,7,18,0.2,8,80,85,18
20200402,20,市环保监测站,32,优,NaN,14,32,0.2,10,70,84,14
20200402,20,市政府,24,优,NaN,7,23,0.2,14,76,82,15
20200402,20,市环保监测站,32,优,NaN,14,32,0.2,10,70,84,14
20200402,20,市政府,24,优,NaN,7,23,0.2,14,76,82,15
20200402,22,市环保监测站,53,良,颗粒物(PM10),19,55,0.3,24,28,72,20
20200402,22,市政府,39,优,NaN,23,39,0.3,40,32,67,25
20200402,23,市环保监测站,54,良,颗粒物(PM10),25,58,0.3,41,11,62,16
20200402,23,市政府,40,优,NaN,22,40,0.2,48,22,60,20
20200403,00,市环保监测站,53,良,颗粒物(PM10),19,56,0.2,23,27,54,13
20200403,00,市政府,32,优,NaN,14,32,0.1,25,35,56,18
20200403,01,市环保监测站,43,优,NaN,12,43,0.2,14,30,30,13
20200403,01,市政府,18,优,NaN,12,16,0.1,19,37,37,18
20200403,02,市环保监测站,36,优,NaN,7,36,0.2,10,35,32,12
20200403,02,市政府,13,优,NaN,8,12,0.1,17,40,38,16
20200403,03,市环保监测站,26,优,NaN,12,26,0.1,7,34,33,12
20200403,03,市政府,14,优,NaN,8,13,0.1,12,43,40,17
20200403,07,市环保监测站,16,优,NaN,9,12,0.1,6,51,39,12
20200403,07,市政府,17,优,NaN,5,16,0.1,4,54,47,15
20200403,08,市环保监测站,18,优,NaN,6,7,0.1,6,56,41,13
20200403,08,市政府,19,优,NaN,6,13,0.1,4,58,49,16
20200403,09,市环保监测站,19,优,NaN,11,NaN,0.2,8,60,45,11
20200403,09,市政府,27,优,NaN,4,27,0.2,7,64,52,15
20200403,10,市环保监测站,22,优,NaN,11,22,0.1,6,69,49,11
20200403,10,市政府,30,优,NaN,11,30,0.1,4,75,56,NaN
20200403,11,市环保监测站,33,优,NaN,6,33,0.1,4,78,55,12
20200403,11,市政府,19,优,NaN,11,19,NaN,2,NaN,58,21
20200403,12,市环保监测站,42,优,NaN,8,42,0.1,4,83,61,13
20200403,12,市政府,NaN,,NaN,NaN,NaN,0.1,2,NaN,60,22
20200403,13,市环保监测站,46,优,NaN,8,46,0.1,3,86,66,12
20200403,13,市政府,NaN,,NaN,NaN,NaN,0.1,NaN,82,64,15
20200403,14,市环保监测站,52,良,颗粒物(PM10),5,53,0.1,3,87,71,12
20200403,14,市政府,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,15,市环保监测站,69,良,颗粒物(PM10),9,87,0.1,3,89,76,11
20200403,15,市政府,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,16,市环保监测站,84,良,颗粒物(PM10),13,117,0.1,5,91,80,10
20200403,16,市政府,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,17,市环保监测站,93,良,颗粒物(PM10),15,135,0.1,4,91,84,11
20200403,17,市政府,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,18,市环保监测站,85,良,颗粒物(PM10),9,120,0.1,6,86,86,13
20200403,18,市政府,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,19,市环保监测站,76,良,颗粒物(PM10),10,101,0.2,8,83,87,14
20200403,19,市政府,53,良,颗粒物(PM10),9,56,0.2,6,85,84,11
20200403,20,市环保监测站,69,良,颗粒物(PM10),15,87,0.1,7,81,87,14
20200403,20,市政府,57,良,颗粒物(PM10),14,63,0.3,13,74,80,22
20200403,21,市环保监测站,68,良,颗粒物(PM10),13,85,0.1,5,78,86,14
20200403,21,市政府,66,良,颗粒物(PM10),15,81,0.3,14,71,77,28
20200403,22,市环保监测站,64,良,颗粒物(PM10),19,77,0.1,2,75,84,12
20200403,22,市政府,56,良,颗粒物(PM10),17,62,0.3,8,75,76,21
20200403,23,市环保监测站,58,良,颗粒物(PM10),21,66,0.1,3,74,82,12
20200403,23,市政府,33,优,NaN,9,33,0.2,5,74,76,15
20200404,00,市环保监测站,51,良,颗粒物(PM10),10,51,0.1,3,74,80,14
20200404,00,市政府,34,优,NaN,7,34,0.2,4,75,76,15
20200404,01,市环保监测站,49,优,NaN,4,49,0.1,3,73,73,18
20200404,01,市政府,59,良,颗粒物(PM10),6,68,0.2,5,76,76,22
20200404,02,市环保监测站,59,良,颗粒物(PM10),8,68,0.1,3,72,72,12
20200404,02,市政府,66,良,颗粒物(PM10),9,81,0.2,4,74,75,22
20200404,03,市环保监测站,63,良,颗粒物(PM10),11,76,0.1,3,70,72,14
20200404,03,市政府,52,良,颗粒物(PM10),6,54,0.2,4,74,75,15
20200404,03,市环保监测站,63,良,颗粒物(PM10),11,76,0.1,3,70,72,14
20200404,03,市政府,52,良,颗粒物(PM10),6,54,0.2,4,74,75,15
20200404,08,市环保监测站,42,优,NaN,7,42,0.2,18,38,50,15
20200404,08,市政府,57,良,颗粒物(PM10),19,64,0.2,17,46,56,22
20200404,09,市环保监测站,51,良,颗粒物(PM10),13,51,0.2,14,59,49,23
20200404,09,市政府,51,良,颗粒物(PM10),21,52,0.2,8,68,55,30
20200404,10,市环保监测站,55,良,颗粒物(PM10),19,59,0.2,9,79,50,16
20200404,10,市政府,37,优,NaN,14,37,0.2,8,81,56,19
20200404,11,市环保监测站,54,良,颗粒物(PM10),21,57,0.2,10,82,51,20
20200404,11,市政府,31,优,NaN,14,31,0.2,8,83,57,17
20200404,12,市环保监测站,51,良,颗粒物(PM10),22,51,0.2,10,82,54,16
20200404,12,市政府,32,优,NaN,10,32,0.2,11,81,59,15
20200404,13,市环保监测站,42,优,NaN,15,42,0.2,15,77,59,15
