Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200402,08,食品厂,88,良,细颗粒物(PM2.5),65,77,0.9,36,44,45,17
20200402,08,客车厂,74,良,细颗粒物(PM2.5),54,84,0.7,34,45,43,14
20200402,08,邮电学院,75,良,颗粒物(PM10),48,99,0.9,43,38,40,13
20200402,08,劳动公园,66,良,颗粒物(PM10),46,81,0.6,33,43,43,14
20200402,08,园林处,62,良,细颗粒物(PM2.5),44,60,0.6,32,43,38,15
20200402,08,净月潭,57,良,细颗粒物(PM2.5),40,57,0.5,19,62,56,11
20200402,08,甩湾子,58,良,细颗粒物(PM2.5),41,59,0.6,16,58,50,11
20200402,08,经开区环卫处,64,良,"
                      颗粒物(PM10)
                      
                      细颗粒物(PM2.5)
                      
",46,78,0.7,38,44,44,11
20200402,08,高新区管委会,68,良,颗粒物(PM10),48,86,0.6,29,48,42,12
20200402,08,岱山公园,74,良,细颗粒物(PM2.5),54,75,0.6,27,50,43,14
20200402,09,食品厂,77,良,细颗粒物(PM2.5),56,80,0.8,32,54,44,14
20200402,09,客车厂,65,良,颗粒物(PM10),43,80,0.7,29,55,43,12
20200402,09,邮电学院,73,良,颗粒物(PM10),40,95,0.9,40,46,39,17
20200402,09,劳动公园,65,良,颗粒物(PM10),39,80,0.6,28,55,43,14
20200402,09,园林处,58,良,"
                      颗粒物(PM10)
                      
                      细颗粒物(PM2.5)
                      
",41,65,0.6,33,49,37,9
20200402,09,净月潭,57,良,颗粒物(PM10),34,64,0.5,20,60,55,11
20200402,09,甩湾子,62,良,颗粒物(PM10),36,74,0.5,16,65,53,12
20200402,09,经开区环卫处,NaN,,NaN,NaN,NaN,0.7,28,56,44,11
20200402,09,高新区管委会,61,良,颗粒物(PM10),40,72,0.6,22,63,43,9
20200402,09,岱山公园,58,良,颗粒物(PM10),39,65,0.5,20,62,45,10
20200402,10,食品厂,69,良,细颗粒物(PM2.5),50,73,0.8,34,57,44,13
20200402,10,客车厂,64,良,颗粒物(PM10),37,77,0.6,25,70,46,10
20200402,10,邮电学院,69,良,颗粒物(PM10),37,88,0.8,40,57,40,15
20200402,10,劳动公园,62,良,颗粒物(PM10),38,73,0.6,28,63,44,10
