Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200402,08,经开区环保局,52,良,细颗粒物(PM2.5),36,NaN,0.8,39,12,14,4
20200402,08,高开区环保局,54,良,细颗粒物(PM2.5),38,NaN,0.9,43,11,10,5
20200402,08,马坡岭,53,良,细颗粒物(PM2.5),37,37,0.7,43,6,7,5
20200402,08,湖南师范大学,54,良,细颗粒物(PM2.5),38,NaN,0.7,40,8,16,4
20200402,08,雨花区环保局,46,优,NaN,32,NaN,0.8,36,23,13,4
20200402,08,伍家岭,48,优,NaN,33,41,0.8,38,8,6,7
20200402,08,火车新站,49,优,NaN,34,NaN,0.9,47,14,19,3
20200402,08,天心区环保局,46,优,NaN,32,33,0.7,40,14,14,2
20200402,08,湖南中医药大学,50,优,NaN,35,37,0.8,53,2,5,6
20200402,08,沙坪,40,优,NaN,28,31,0.6,23,24,38,6
20200402,09,经开区环保局,46,优,NaN,32,36,0.8,42,14,13,4
20200402,09,高开区环保局,63,良,细颗粒物(PM2.5),45,45,0.9,44,10,10,5
20200402,09,马坡岭,52,良,细颗粒物(PM2.5),36,41,0.8,46,4,6,5
20200402,09,湖南师范大学,55,良,细颗粒物(PM2.5),39,NaN,0.7,31,15,15,4
20200402,09,雨花区环保局,46,优,NaN,32,NaN,0.8,40,21,12,4
20200402,09,伍家岭,46,优,NaN,32,43,0.8,39,6,6,8
20200402,09,火车新站,49,优,NaN,34,NaN,0.9,47,15,19,3
20200402,09,天心区环保局,45,优,NaN,31,31,0.8,38,22,11,2
20200402,09,湖南中医药大学,52,良,细颗粒物(PM2.5),36,40,0.8,50,2,2,6
20200402,09,沙坪,45,优,NaN,31,38,0.6,30,22,35,6
20200402,10,经开区环保局,53,良,细颗粒物(PM2.5),37,38,1.0,43,11,10,4
20200402,10,高开区环保局,65,良,细颗粒物(PM2.5),47,NaN,1.0,42,11,9,6
20200402,10,马坡岭,50,优,NaN,35,41,0.8,45,6,4,6
20200402,10,湖南师范大学,59,良,细颗粒物(PM2.5),42,NaN,0.7,24,23,16,4
20200402,10,雨花区环保局,49,优,NaN,34,38,0.9,48,13,12,5
20200402,10,伍家岭,53,良,细颗粒物(PM2.5),37,45,0.9,38,8,6,8
20200402,10,火车新站,50,优,NaN,35,NaN,0.9,50,16,20,3
20200402,10,天心区环保局,45,优,NaN,31,34,0.9,39,20,10,2
20200402,10,湖南中医药大学,52,良,细颗粒物(PM2.5),36,39,0.9,49,4,2,6
20200402,10,沙坪,46,优,NaN,32,38,0.6,30,24,32,8
20200402,11,经开区环保局,62,良,细颗粒物(PM2.5),44,44,1.0,41,11,10,5
20200402,11,高开区环保局,59,良,细颗粒物(PM2.5),42,NaN,0.9,40,16,9,6
20200402,11,马坡岭,57,良,细颗粒物(PM2.5),40,41,0.8,46,9,5,6
20200402,11,湖南师范大学,62,良,细颗粒物(PM2.5),44,NaN,0.8,31,19,16,5
20200402,11,雨花区环保局,49,优,NaN,34,NaN,1.0,48,15,13,5
20200402,11,伍家岭,48,优,NaN,33,45,1.0,33,15,8,8
20200402,11,火车新站,57,良,细颗粒物(PM2.5),40,NaN,1.0,48,15,20,3
20200402,11,天心区环保局,45,优,NaN,31,37,0.9,41,21,12,3
20200402,11,湖南中医药大学,53,良,细颗粒物(PM2.5),37,42,0.9,50,7,2,6
20200402,11,沙坪,43,优,NaN,30,36,0.6,26,35,31,9
20200402,12,经开区环保局,64,良,细颗粒物(PM2.5),46,46,0.9,42,10,10,5
20200402,12,高开区环保局,57,良,细颗粒物(PM2.5),40,41,1.0,41,34,12,7
20200402,12,马坡岭,62,良,细颗粒物(PM2.5),44,46,0.8,43,10,6,7
20200402,12,湖南师范大学,60,良,细颗粒物(PM2.5),43,NaN,0.8,33,20,16,5
20200402,12,雨花区环保局,55,良,细颗粒物(PM2.5),39,NaN,1.0,46,18,15,5
20200402,12,伍家岭,46,优,NaN,32,44,1.0,33,19,9,9
20200402,12,火车新站,60,良,细颗粒物(PM2.5),43,46,1.0,48,15,18,3
20200402,12,天心区环保局,50,优,NaN,35,44,0.8,39,20,14,NaN
20200402,12,湖南中医药大学,54,良,细颗粒物(PM2.5),38,42,0.9,51,10,4,6
20200402,12,沙坪,42,优,NaN,29,38,0.6,24,38,31,11
20200402,13,经开区环保局,67,良,细颗粒物(PM2.5),48,NaN,0.9,38,15,11,6
20200402,13,高开区环保局,NaN,,NaN,NaN,NaN,0.9,44,52,18,NaN
20200402,13,马坡岭,63,良,细颗粒物(PM2.5),45,NaN,0.8,41,16,7,8
20200402,13,湖南师范大学,60,良,细颗粒物(PM2.5),43,NaN,0.8,28,29,17,7
20200402,13,雨花区环保局,60,良,细颗粒物(PM2.5),43,NaN,1.0,42,21,17,6
20200402,13,伍家岭,53,良,细颗粒物(PM2.5),37,43,1.2,31,24,12,10
20200402,13,火车新站,58,良,细颗粒物(PM2.5),41,NaN,0.8,36,29,18,3
20200402,13,天心区环保局,55,良,细颗粒物(PM2.5),39,42,NaN,NaN,21,16,3
20200402,13,湖南中医药大学,57,良,细颗粒物(PM2.5),40,45,0.9,50,14,5,7
20200402,13,沙坪,42,优,NaN,29,34,0.6,22,46,33,11
20200402,14,经开区环保局,63,良,细颗粒物(PM2.5),45,48,0.8,36,21,13,6
20200402,14,高开区环保局,65,良,细颗粒物(PM2.5),47,NaN,2.5,NaN,60,25,7
20200402,14,马坡岭,62,良,细颗粒物(PM2.5),44,44,0.7,38,22,10,8
20200402,14,湖南师范大学,57,良,细颗粒物(PM2.5),40,45,0.7,26,35,19,6
20200402,14,雨花区环保局,64,良,细颗粒物(PM2.5),46,NaN,1.0,42,24,19,6
20200402,14,伍家岭,55,良,细颗粒物(PM2.5),39,45,0.6,26,33,15,11
20200402,14,火车新站,54,良,细颗粒物(PM2.5),38,42,0.8,38,32,20,3
20200402,14,天心区环保局,65,良,颗粒物(PM10),37,80,0.6,30,NaN,17,4
20200402,14,湖南中医药大学,58,良,细颗粒物(PM2.5),41,48,0.9,50,20,8,7
20200402,14,沙坪,44,优,NaN,28,44,0.6,24,52,35,10
20200402,14,经开区环保局,63,良,细颗粒物(PM2.5),45,48,0.8,36,21,13,6
20200402,14,高开区环保局,65,良,细颗粒物(PM2.5),47,NaN,2.5,NaN,60,25,7
20200402,14,马坡岭,62,良,细颗粒物(PM2.5),44,44,0.7,38,22,10,8
20200402,14,湖南师范大学,57,良,细颗粒物(PM2.5),40,45,0.7,26,35,19,6
20200402,14,雨花区环保局,64,良,细颗粒物(PM2.5),46,NaN,1.0,42,24,19,6
20200402,14,伍家岭,55,良,细颗粒物(PM2.5),39,45,0.6,26,33,15,11
20200402,14,火车新站,54,良,细颗粒物(PM2.5),38,42,0.8,38,32,20,3
20200402,14,天心区环保局,65,良,颗粒物(PM10),37,80,0.6,30,NaN,17,4
20200402,14,湖南中医药大学,58,良,细颗粒物(PM2.5),41,48,0.9,50,20,8,7
20200402,14,沙坪,44,优,NaN,28,44,0.6,24,52,35,10
20200402,15,经开区环保局,60,良,细颗粒物(PM2.5),43,45,0.8,37,20,14,6
20200402,15,高开区环保局,68,良,细颗粒物(PM2.5),49,NaN,0.8,30,NaN,28,7
20200402,15,马坡岭,58,良,细颗粒物(PM2.5),41,42,0.7,37,26,12,8
20200402,15,湖南师范大学,62,良,细颗粒物(PM2.5),44,NaN,0.7,22,41,24,6
20200402,15,雨花区环保局,64,良,细颗粒物(PM2.5),46,NaN,0.9,46,20,19,6
20200402,15,伍家岭,52,良,细颗粒物(PM2.5),36,45,0.6,28,33,18,11
20200402,15,火车新站,55,良,细颗粒物(PM2.5),39,40,0.8,38,31,21,3
20200402,15,天心区环保局,NaN,,NaN,NaN,NaN,0.5,36,32,21,5
20200402,15,湖南中医药大学,58,良,细颗粒物(PM2.5),41,46,0.8,43,28,11,7
20200402,15,沙坪,42,优,NaN,29,39,0.6,25,49,36,9
20200402,16,经开区环保局,58,良,细颗粒物(PM2.5),41,46,0.9,40,22,16,6
20200402,16,高开区环保局,74,良,细颗粒物(PM2.5),54,NaN,0.8,43,NaN,30,8
20200402,16,马坡岭,60,良,细颗粒物(PM2.5),43,50,0.8,46,13,13,7
20200402,16,湖南师范大学,62,良,细颗粒物(PM2.5),44,NaN,0.7,24,31,27,5
20200402,16,雨花区环保局,64,良,细颗粒物(PM2.5),46,NaN,1.0,51,16,18,6
20200402,16,伍家岭,53,良,颗粒物(PM10),30,56,0.7,31,21,20,11
20200402,16,火车新站,60,良,细颗粒物(PM2.5),43,47,0.9,46,25,22,3
20200402,16,天心区环保局,62,良,细颗粒物(PM2.5),44,67,0.5,45,18,22,4
20200402,16,湖南中医药大学,55,良,细颗粒物(PM2.5),39,48,0.8,47,26,14,7
20200402,16,沙坪,49,优,NaN,34,44,0.6,25,45,39,8
20200402,17,经开区环保局,70,良,细颗粒物(PM2.5),51,NaN,1.0,53,8,15,6
20200402,17,高开区环保局,83,良,细颗粒物(PM2.5),61,NaN,0.9,50,NaN,35,7
20200402,17,马坡岭,68,良,细颗粒物(PM2.5),49,59,0.9,55,4,13,6
20200402,17,湖南师范大学,69,良,细颗粒物(PM2.5),50,NaN,0.7,26,31,29,4
20200402,17,雨花区环保局,68,良,细颗粒物(PM2.5),49,NaN,1.0,55,9,17,5
20200402,17,伍家岭,58,良,细颗粒物(PM2.5),41,59,0.8,45,NaN,22,9
20200402,17,火车新站,64,良,细颗粒物(PM2.5),46,NaN,1.0,49,21,23,3
20200402,17,天心区环保局,64,良,细颗粒物(PM2.5),46,NaN,0.8,50,11,20,3
20200402,17,湖南中医药大学,59,良,细颗粒物(PM2.5),42,42,0.9,54,15,16,6
20200402,17,沙坪,50,优,NaN,35,38,0.7,24,50,42,9
20200402,18,经开区环保局,77,良,细颗粒物(PM2.5),56,NaN,1.0,47,16,15,4
20200402,18,高开区环保局,79,良,细颗粒物(PM2.5),58,NaN,0.9,29,46,42,5
20200402,18,马坡岭,72,良,细颗粒物(PM2.5),52,56,1.0,55,4,13,6
20200402,18,湖南师范大学,77,良,细颗粒物(PM2.5),56,NaN,0.8,31,28,29,5
20200402,18,雨花区环保局,73,良,细颗粒物(PM2.5),53,NaN,1.2,58,5,16,5
20200402,18,伍家岭,57,良,细颗粒物(PM2.5),40,45,0.8,36,23,24,8
20200402,18,火车新站,74,良,细颗粒物(PM2.5),54,NaN,1.1,56,15,23,3
20200402,18,天心区环保局,65,良,细颗粒物(PM2.5),47,NaN,0.9,51,9,19,2
20200402,18,湖南中医药大学,64,良,细颗粒物(PM2.5),46,NaN,0.9,52,16,17,6
20200402,18,沙坪,49,优,NaN,34,NaN,0.6,19,61,47,7
20200402,19,经开区环保局,83,良,细颗粒物(PM2.5),61,NaN,1.1,50,13,16,4
20200402,19,高开区环保局,72,良,细颗粒物(PM2.5),52,NaN,0.9,29,47,48,5
20200402,19,马坡岭,73,良,细颗粒物(PM2.5),53,NaN,0.9,58,5,12,6
20200402,19,湖南师范大学,74,良,细颗粒物(PM2.5),54,NaN,0.8,26,35,31,4
20200402,19,雨花区环保局,70,良,细颗粒物(PM2.5),51,NaN,1.0,48,22,17,5
20200402,19,伍家岭,40,优,NaN,28,39,0.7,33,31,26,8
20200402,19,火车新站,70,良,细颗粒物(PM2.5),51,NaN,1.0,45,29,25,3
20200402,19,天心区环保局,65,良,细颗粒物(PM2.5),47,NaN,0.8,41,26,20,3
20200402,19,湖南中医药大学,67,良,细颗粒物(PM2.5),48,NaN,0.9,42,26,19,6
20200402,19,沙坪,54,良,细颗粒物(PM2.5),38,NaN,0.7,23,53,49,7
20200402,20,经开区环保局,85,良,细颗粒物(PM2.5),63,NaN,1.1,54,5,15,5
20200402,20,高开区环保局,82,良,细颗粒物(PM2.5),60,NaN,1.0,33,36,48,5
20200402,20,马坡岭,77,良,细颗粒物(PM2.5),56,NaN,0.9,57,4,12,6
20200402,20,湖南师范大学,75,良,细颗粒物(PM2.5),55,NaN,0.8,25,38,34,4
20200402,20,雨花区环保局,77,良,细颗粒物(PM2.5),56,NaN,1.1,48,21,17,5
20200402,20,伍家岭,45,优,NaN,31,41,0.8,46,17,26,7
20200402,20,火车新站,73,良,细颗粒物(PM2.5),53,NaN,1.0,53,22,26,3
20200402,20,天心区环保局,69,良,细颗粒物(PM2.5),50,NaN,0.8,40,24,20,3
20200402,20,湖南中医药大学,67,良,细颗粒物(PM2.5),48,NaN,0.9,52,17,20,5
20200402,20,沙坪,60,良,细颗粒物(PM2.5),43,NaN,0.7,23,40,50,7
20200402,20,经开区环保局,85,良,细颗粒物(PM2.5),63,NaN,1.1,54,5,15,5
20200402,20,高开区环保局,82,良,细颗粒物(PM2.5),60,NaN,1.0,33,36,48,5
20200402,20,马坡岭,77,良,细颗粒物(PM2.5),56,NaN,0.9,57,4,12,6
20200402,20,湖南师范大学,75,良,细颗粒物(PM2.5),55,NaN,0.8,25,38,34,4
20200402,20,雨花区环保局,77,良,细颗粒物(PM2.5),56,NaN,1.1,48,21,17,5
20200402,20,伍家岭,45,优,NaN,31,41,0.8,46,17,26,7
20200402,20,火车新站,73,良,细颗粒物(PM2.5),53,NaN,1.0,53,22,26,3
20200402,20,天心区环保局,69,良,细颗粒物(PM2.5),50,NaN,0.8,40,24,20,3
20200402,20,湖南中医药大学,67,良,细颗粒物(PM2.5),48,NaN,0.9,52,17,20,5
20200402,20,沙坪,60,良,细颗粒物(PM2.5),43,NaN,0.7,23,40,50,7
20200402,22,经开区环保局,83,良,细颗粒物(PM2.5),61,NaN,1.2,56,5,12,5
20200402,22,高开区环保局,92,良,细颗粒物(PM2.5),68,NaN,1.1,57,5,31,6
20200402,22,马坡岭,79,良,细颗粒物(PM2.5),58,NaN,0.9,55,3,8,6
20200402,22,湖南师范大学,92,良,细颗粒物(PM2.5),68,NaN,0.9,26,26,33,5
20200402,22,雨花区环保局,83,良,细颗粒物(PM2.5),61,NaN,1.2,58,10,15,5
20200402,22,伍家岭,62,良,细颗粒物(PM2.5),44,52,0.9,45,8,20,9
20200402,22,火车新站,84,良,细颗粒物(PM2.5),62,NaN,1.2,65,5,20,NaN
20200402,22,天心区环保局,75,良,细颗粒物(PM2.5),55,NaN,0.8,50,10,18,2
20200402,22,湖南中医药大学,78,良,细颗粒物(PM2.5),57,NaN,1.0,57,2,17,6
20200402,22,沙坪,70,良,细颗粒物(PM2.5),51,NaN,0.8,25,27,45,7
20200402,23,经开区环保局,93,良,细颗粒物(PM2.5),69,NaN,1.2,57,5,10,5
20200402,23,高开区环保局,98,良,细颗粒物(PM2.5),73,NaN,1.1,56,5,27,6
20200402,23,马坡岭,79,良,细颗粒物(PM2.5),58,NaN,1.0,55,3,5,6
20200402,23,湖南师范大学,92,良,细颗粒物(PM2.5),68,NaN,0.9,28,18,30,5
20200402,23,雨花区环保局,88,良,细颗粒物(PM2.5),65,NaN,1.3,61,3,13,5
20200402,23,伍家岭,62,良,细颗粒物(PM2.5),44,56,0.9,44,5,16,11
