Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200402,08,市中心,59,良,细颗粒物(PM2.5),42,49,0.8,42,27,36,11
20200402,08,赛鱼,52,良,细颗粒物(PM2.5),36,44,0.8,41,36,21,8
20200402,08,南庄,67,良,细颗粒物(PM2.5),48,NaN,0.8,43,18,23,26
20200402,08,白羊墅,67,良,细颗粒物(PM2.5),48,72,0.9,42,14,15,24
20200402,08,平坦,55,良,细颗粒物(PM2.5),39,NaN,0.7,36,38,28,8
20200402,08,大阳泉,48,优,NaN,33,43,0.6,24,52,47,3
20200402,09,市中心,57,良,细颗粒物(PM2.5),40,47,0.8,35,40,36,12
20200402,09,赛鱼,57,良,细颗粒物(PM2.5),40,40,0.9,44,37,24,10
20200402,09,南庄,69,良,细颗粒物(PM2.5),50,NaN,0.7,37,32,21,20
20200402,09,白羊墅,68,良,细颗粒物(PM2.5),49,72,0.8,39,34,15,23
20200402,09,平坦,50,优,NaN,35,37,0.7,37,39,29,12
20200402,09,大阳泉,50,优,NaN,35,40,0.7,28,50,48,5
20200402,10,市中心,52,良,细颗粒物(PM2.5),36,46,0.7,27,54,37,12
20200402,10,赛鱼,55,良,细颗粒物(PM2.5),39,41,0.9,42,40,28,12
20200402,10,南庄,64,良,细颗粒物(PM2.5),46,53,0.7,33,44,20,14
20200402,10,白羊墅,59,良,细颗粒物(PM2.5),42,54,0.8,33,45,19,16
20200402,10,平坦,46,优,NaN,32,36,NaN,36,44,31,13
20200402,10,大阳泉,48,优,NaN,33,44,0.7,29,51,47,7
20200402,11,市中心,38,优,NaN,26,32,0.5,19,70,42,10
20200402,11,赛鱼,52,良,细颗粒物(PM2.5),36,42,NaN,33,58,33,NaN
20200402,11,南庄,59,良,细颗粒物(PM2.5),42,48,0.5,26,57,25,12
20200402,11,白羊墅,49,优,NaN,34,48,0.6,32,55,24,13
20200402,11,平坦,33,优,NaN,23,27,0.5,27,65,37,NaN
20200402,11,大阳泉,33,优,NaN,20,33,0.5,21,74,52,8
20200402,12,市中心,34,优,NaN,17,34,0.5,21,71,47,10
20200402,12,赛鱼,35,优,NaN,24,26,NaN,NaN,72,41,7
20200402,12,南庄,46,优,NaN,32,41,0.5,25,65,31,11
20200402,12,白羊墅,42,优,NaN,28,42,0.5,25,69,31,11
20200402,12,平坦,28,优,NaN,19,22,0.5,NaN,70,43,12
20200402,12,大阳泉,29,优,NaN,20,27,0.5,23,79,56,8
20200402,13,市中心,32,优,NaN,13,32,0.5,19,76,52,10
20200402,13,赛鱼,NaN,,NaN,NaN,NaN,0.4,NaN,80,48,8
20200402,13,南庄,34,优,NaN,22,34,0.4,21,74,39,12
20200402,13,白羊墅,36,优,NaN,25,35,0.5,18,81,39,11
20200402,13,平坦,25,优,NaN,17,21,0.5,18,75,50,12
20200402,13,大阳泉,28,优,NaN,13,28,0.5,24,83,61,8
20200402,14,市中心,28,优,NaN,9,28,0.4,14,87,58,9
20200402,14,赛鱼,38,优,NaN,21,38,0.4,15,NaN,50,7
20200402,14,南庄,30,优,NaN,20,30,0.4,16,86,48,10
20200402,14,白羊墅,33,优,NaN,23,33,0.4,16,88,49,10
20200402,14,平坦,20,优,NaN,14,19,0.4,12,NaN,52,11
20200402,14,大阳泉,28,优,NaN,14,27,0.4,22,88,66,7
20200402,15,市中心,30,优,NaN,8,19,0.4,12,93,65,8
20200402,15,赛鱼,26,优,NaN,12,26,0.4,14,NaN,54,6
20200402,15,南庄,28,优,NaN,13,22,0.4,17,89,58,10
20200402,15,白羊墅,30,优,NaN,21,29,0.3,16,93,60,8
20200402,15,平坦,77,良,颗粒物(PM10),14,104,0.4,10,92,60,9
20200402,15,大阳泉,30,优,NaN,15,19,0.4,19,96,72,7
20200402,16,市中心,30,优,NaN,9,18,0.3,13,96,73,6
20200402,16,赛鱼,31,优,NaN,12,23,0.3,17,98,64,6
20200402,16,南庄,30,优,NaN,12,20,0.4,16,94,68,8
20200402,16,白羊墅,30,优,NaN,13,20,0.3,16,96,70,7
20200402,16,平坦,NaN,,NaN,NaN,NaN,0.4,10,101,69,8
20200402,16,大阳泉,32,优,NaN,12,23,0.4,19,100,78,6
20200402,17,市中心,31,优,NaN,12,17,0.3,14,97,80,6
20200402,17,赛鱼,32,优,NaN,10,18,0.3,19,100,75,7
20200402,17,南庄,31,优,NaN,12,16,0.4,17,97,76,7
20200402,17,白羊墅,31,优,NaN,15,18,0.3,18,98,78,6
20200402,17,平坦,NaN,,NaN,NaN,NaN,0.4,12,102,78,8
20200402,17,大阳泉,32,优,NaN,15,18,0.4,19,102,84,6
20200402,18,市中心,30,优,NaN,12,19,0.4,17,93,85,7
20200402,18,赛鱼,31,优,NaN,19,21,0.3,22,97,84,7
20200402,18,南庄,30,优,NaN,13,18,0.4,20,95,82,8
20200402,18,白羊墅,31,优,NaN,15,23,0.3,18,99,85,7
20200402,18,平坦,33,优,NaN,23,33,0.5,15,99,86,8
20200402,18,大阳泉,31,优,NaN,18,21,0.4,23,97,90,7
20200402,19,市中心,32,优,NaN,17,32,0.5,32,71,86,8
20200402,19,赛鱼,28,优,NaN,19,28,0.4,26,64,85,5
20200402,19,南庄,26,优,NaN,18,21,0.5,33,76,84,10
20200402,19,白羊墅,26,优,NaN,18,26,0.4,36,74,87,12
20200402,19,平坦,38,优,NaN,26,35,0.6,29,81,89,10
20200402,19,大阳泉,32,优,NaN,22,23,0.4,26,94,92,7
20200402,20,市中心,46,优,NaN,20,46,0.8,53,37,81,7
20200402,20,赛鱼,31,优,NaN,21,31,0.4,36,45,81,5
20200402,20,南庄,35,优,NaN,24,33,0.5,37,56,83,7
20200402,20,白羊墅,39,优,NaN,23,39,0.5,61,33,83,16
20200402,20,平坦,52,良,细颗粒物(PM2.5),36,44,0.8,46,53,86,30
20200402,20,大阳泉,32,优,NaN,22,22,0.4,26,94,94,8
20200402,20,市中心,46,优,NaN,20,46,0.8,53,37,81,7
20200402,20,赛鱼,31,优,NaN,21,31,0.4,36,45,81,5
20200402,20,南庄,35,优,NaN,24,33,0.5,37,56,83,7
20200402,20,白羊墅,39,优,NaN,23,39,0.5,61,33,83,16
20200402,20,平坦,52,良,细颗粒物(PM2.5),36,44,0.8,46,53,86,30
20200402,20,大阳泉,32,优,NaN,22,22,0.4,26,94,94,8
20200402,22,市中心,60,良,颗粒物(PM10),28,69,0.6,78,1,62,13
20200402,22,赛鱼,48,优,NaN,33,46,0.5,71,6,62,7
20200402,22,南庄,46,优,NaN,32,45,0.6,72,12,69,15
20200402,22,白羊墅,NaN,,NaN,43,NaN,0.8,77,3,62,13
20200402,22,平坦,51,良,颗粒物(PM10),29,52,0.7,96,2,68,29
20200402,22,大阳泉,34,优,NaN,21,34,0.5,36,74,92,27
20200402,23,市中心,61,良,颗粒物(PM10),26,71,0.5,79,NaN,50,10
20200402,23,赛鱼,62,良,颗粒物(PM10),32,73,0.5,74,2,54,9
20200402,23,南庄,52,良,颗粒物(PM10),32,53,0.5,77,3,58,13
20200402,23,白羊墅,94,良,颗粒物(PM10),48,138,0.8,64,3,51,12
20200402,23,平坦,45,优,NaN,25,45,0.5,85,2,57,13
20200402,23,大阳泉,32,优,NaN,22,27,0.5,29,73,89,8
20200403,00,市中心,67,良,颗粒物(PM10),19,83,0.5,75,NaN,38,10
