Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200402,08,小东沟,25,优,NaN,11,19,0.2,2,79,81,3
20200402,08,市站,23,优,NaN,4,10,0.6,2,72,74,3
20200402,09,小东沟,25,优,NaN,9,13,0.2,1,79,81,3
20200402,09,市站,22,优,NaN,3,5,0.6,4,70,73,3
20200402,10,小东沟,25,优,NaN,9,18,0.2,1,79,80,3
20200402,10,市站,22,优,NaN,NaN,12,0.6,6,69,72,3
20200402,11,小东沟,25,优,NaN,7,25,0.2,2,79,80,3
20200402,11,市站,22,优,NaN,8,9,0.5,5,69,72,3
20200402,12,小东沟,25,优,NaN,3,20,0.2,1,78,79,3
20200402,12,市站,22,优,NaN,8,8,0.6,7,68,71,3
20200402,13,小东沟,25,优,NaN,12,18,0.2,1,78,79,3
20200402,13,市站,23,优,NaN,8,15,0.6,5,71,70,3
20200402,14,小东沟,25,优,NaN,10,NaN,0.2,1,78,79,3
20200402,14,市站,22,优,NaN,10,NaN,0.6,4,68,70,3
20200402,14,小东沟,25,优,NaN,10,NaN,0.2,1,78,79,3
20200402,14,市站,22,优,NaN,10,NaN,0.6,4,68,70,3
20200402,15,小东沟,25,优,NaN,9,23,0.2,1,80,79,4
20200402,15,市站,24,优,NaN,3,10,0.6,4,76,70,3
20200402,16,小东沟,25,优,NaN,15,NaN,0.2,7,80,79,3
20200402,16,市站,23,优,NaN,2,10,0.6,4,71,70,3
20200402,17,小东沟,25,优,NaN,10,12,0.2,2,80,79,2
20200402,17,市站,22,优,NaN,8,14,0.6,9,70,70,3
20200402,18,小东沟,42,优,NaN,16,42,0.1,3,79,79,2
20200402,18,市站,23,优,NaN,2,14,0.6,7,72,71,3
20200402,19,小东沟,92,良,颗粒物(PM10),16,134,0.1,2,79,79,2
20200402,19,市站,23,优,NaN,7,18,0.6,9,71,71,3
20200402,20,小东沟,101,轻度污染,颗粒物(PM10),15,151,0.2,3,79,79,2
20200402,20,市站,21,优,NaN,2,7,0.6,NaN,65,70,NaN
20200402,20,小东沟,101,轻度污染,颗粒物(PM10),15,151,0.2,3,79,79,2
20200402,20,市站,21,优,NaN,2,7,0.6,NaN,65,70,NaN
20200402,22,小东沟,25,优,NaN,13,16,0.1,2,78,79,2
20200402,22,市站,22,优,NaN,9,22,0.1,6,67,68,1
20200402,23,小东沟,25,优,NaN,6,16,0.2,1,79,79,2
20200402,23,市站,22,优,NaN,2,12,0.1,3,70,67,3
