Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200402,08,州农科所,20,优,NaN,14,16,0.5,9,30,40,8
20200402,08,州监测站,20,优,NaN,14,18,0.5,16,32,48,5
20200402,08,马师校,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,09,州农科所,22,优,NaN,15,15,0.5,16,28,38,8
20200402,09,州监测站,26,优,NaN,18,24,0.5,14,35,46,5
20200402,09,马师校,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,10,州农科所,19,优,NaN,12,19,0.5,12,42,37,8
20200402,10,州监测站,32,优,NaN,22,31,0.5,10,48,45,5
20200402,10,马师校,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,11,州农科所,20,优,NaN,9,12,0.5,8,62,39,7
20200402,11,州监测站,25,优,NaN,14,24,0.3,6,78,48,4
20200402,11,马师校,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,12,州农科所,26,优,NaN,8,9,0.5,8,83,45,8
20200402,12,州监测站,32,优,NaN,9,16,0.3,4,101,54,4
20200402,12,马师校,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,13,州农科所,32,优,NaN,5,9,0.5,5,102,52,8
20200402,13,州监测站,38,优,NaN,6,13,0.3,4,120,63,4
20200402,13,马师校,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,14,州农科所,33,优,NaN,7,16,0.5,5,105,61,8
20200402,14,州监测站,40,优,NaN,5,13,0.3,4,126,73,4
20200402,14,马师校,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,14,州农科所,33,优,NaN,7,16,0.5,5,105,61,8
20200402,14,州监测站,40,优,NaN,5,13,0.3,4,126,73,4
20200402,14,马师校,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,15,州农科所,33,优,NaN,10,13,0.5,6,104,70,8
20200402,15,州监测站,40,优,NaN,5,10,0.3,5,128,84,4
20200402,15,马师校,21,优,NaN,NaN,NaN,0.4,2,67,67,24
20200402,16,州农科所,33,优,NaN,10,22,0.5,8,104,79,8
20200402,16,州监测站,40,优,NaN,5,13,0.4,5,127,95,4
20200402,16,马师校,31,优,NaN,7,NaN,0.8,10,97,82,7
20200402,17,州农科所,35,优,NaN,12,22,0.4,5,110,89,8
20200402,17,州监测站,42,优,NaN,9,12,0.4,4,132,108,4
20200402,17,马师校,35,优,NaN,9,11,0.6,7,112,92,6
20200402,18,州农科所,33,优,NaN,14,25,0.5,5,105,97,8
20200402,18,州监测站,40,优,NaN,9,16,0.3,4,125,117,4
20200402,18,马师校,35,优,NaN,9,13,0.6,8,111,97,7
20200402,19,州农科所,32,优,NaN,18,26,0.5,6,100,102,9
20200402,19,州监测站,37,优,NaN,10,20,0.3,5,117,122,4
20200402,19,马师校,33,优,NaN,13,13,NaN,11,103,98,7
20200402,20,州农科所,30,优,NaN,18,28,0.5,5,95,103,8
20200402,20,州监测站,35,优,NaN,15,19,0.3,6,110,123,4
20200402,20,马师校,NaN,,NaN,NaN,NaN,0.2,8,97,98,7
20200402,20,州农科所,30,优,NaN,18,28,0.5,5,95,103,8
20200402,20,州监测站,35,优,NaN,15,19,0.3,6,110,123,4
20200402,20,马师校,NaN,,NaN,NaN,NaN,0.2,8,97,98,7
20200402,22,州农科所,28,优,NaN,19,20,0.6,7,77,98,7
20200402,22,州监测站,30,优,NaN,15,16,0.3,5,93,116,4
20200402,22,马师校,28,优,NaN,18,28,0.3,9,83,95,NaN
20200402,23,州农科所,23,优,NaN,16,18,0.6,7,71,94,9
20200402,23,州监测站,27,优,NaN,15,NaN,0.3,5,86,111,3
20200402,23,马师校,25,优,NaN,14,24,0.3,8,80,97,7
20200403,00,州农科所,22,优,NaN,14,17,0.6,6,70,89,8
20200403,00,州监测站,26,优,NaN,13,18,0.3,5,83,106,3
20200403,00,马师校,25,优,NaN,13,19,0.3,7,79,95,6
20200403,01,州农科所,26,优,NaN,18,NaN,0.6,6,67,67,9
20200403,01,州监测站,26,优,NaN,14,15,0.3,5,83,83,4
20200403,01,马师校,24,优,NaN,14,NaN,0.3,8,75,75,7
20200403,02,州农科所,20,优,NaN,12,15,0.6,7,64,66,8
20200403,02,州监测站,26,优,NaN,12,19,0.3,6,81,82,4
20200403,02,马师校,23,优,NaN,13,17,0.3,9,71,73,7
20200403,03,州农科所,20,优,NaN,14,NaN,0.6,6,62,64,9
20200403,03,州监测站,20,优,NaN,10,13,0.4,6,62,75,4
20200403,03,马师校,23,优,NaN,16,16,0.3,7,72,73,7
20200403,08,州农科所,23,优,NaN,15,23,0.5,6,43,56,10
20200403,08,州监测站,22,优,NaN,13,22,0.5,10,51,63,5
20200403,08,马师校,33,优,NaN,23,NaN,0.3,15,47,66,6
20200403,09,州农科所,23,优,NaN,14,23,0.6,10,41,52,10
20200403,09,州监测站,25,优,NaN,13,25,0.6,11,49,59,5
20200403,09,马师校,35,优,NaN,24,NaN,0.3,16,43,62,6
20200403,10,州农科所,20,优,NaN,10,20,0.6,10,51,51,9
20200403,10,州监测站,29,优,NaN,20,27,0.5,7,61,56,4
20200403,10,马师校,29,优,NaN,20,NaN,0.3,10,56,60,7
20200403,11,州农科所,25,优,NaN,8,15,0.6,9,77,52,9
20200403,11,州监测站,29,优,NaN,14,20,0.4,7,92,60,4
20200403,11,马师校,24,优,NaN,13,NaN,0.3,11,75,60,7
20200403,12,州农科所,31,优,NaN,8,12,0.6,7,98,57,9
20200403,12,州监测站,38,优,NaN,10,13,0.4,5,120,68,4
20200403,12,马师校,32,优,NaN,11,NaN,0.3,8,101,64,7
20200403,13,州农科所,35,优,NaN,10,NaN,0.5,5,109,65,9
20200403,13,州监测站,40,优,NaN,8,10,0.4,5,128,76,4
20200403,13,马师校,35,优,NaN,9,12,0.3,7,110,70,7
20200403,14,州农科所,35,优,NaN,7,10,0.5,5,111,72,9
20200403,14,州监测站,41,优,NaN,6,8,0.4,NaN,131,86,4
20200403,14,马师校,36,优,NaN,8,10,0.3,6,115,76,8
20200403,15,州农科所,34,优,NaN,8,21,0.4,6,106,80,9
20200403,15,州监测站,41,优,NaN,6,8,0.4,NaN,130,95,NaN
20200403,15,马师校,35,优,NaN,6,14,0.3,9,112,82,7
20200403,16,州农科所,35,优,NaN,12,24,0.4,6,109,88,9
20200403,16,州监测站,41,优,NaN,11,NaN,NaN,5,131,105,4
20200403,16,马师校,36,优,NaN,12,12,0.2,7,113,91,7
20200403,17,州农科所,35,优,NaN,10,19,0.4,5,112,97,8
20200403,17,州监测站,NaN,,NaN,NaN,NaN,0.4,6,NaN,113,2
20200403,17,马师校,36,优,NaN,17,18,0.2,10,114,100,5
20200403,18,州农科所,31,优,NaN,17,22,0.5,5,97,102,9
20200403,18,州监测站,34,优,NaN,12,NaN,0.4,4,106,120,3
20200403,18,马师校,33,优,NaN,21,32,0.3,8,105,106,7
20200403,19,州农科所,31,优,NaN,20,26,0.5,6,98,105,9
20200403,19,州监测站,32,优,NaN,19,27,0.3,7,100,121,3
20200403,19,马师校,32,优,NaN,19,26,0.3,7,101,109,7
20200403,20,州农科所,30,优,NaN,21,22,0.6,6,86,104,9
20200403,20,州监测站,33,优,NaN,23,27,0.3,7,96,117,5
20200403,20,马师校,31,优,NaN,20,21,0.2,6,98,108,6
20200403,21,州农科所,26,优,NaN,18,26,0.6,9,75,99,10
20200403,21,州监测站,33,优,NaN,23,27,0.3,6,93,112,4
20200403,21,马师校,35,优,NaN,24,NaN,0.3,15,83,105,7
20200403,22,州农科所,28,优,NaN,19,NaN,0.6,6,70,94,9
20200403,22,州监测站,30,优,NaN,21,25,0.3,5,80,105,3
20200403,22,马师校,24,优,NaN,16,19,0.3,11,75,100,6
20200403,23,州农科所,25,优,NaN,17,19,0.7,5,69,90,10
