Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200402,08,阿里监测站,27,优,NaN,3,6,0.5,3,86,83,7
20200402,08,阿里地委,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,09,阿里监测站,26,优,NaN,2,5,0.5,6,83,83,8
20200402,09,阿里地委,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,10,阿里监测站,26,优,NaN,5,8,0.5,9,81,83,8
20200402,10,阿里地委,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,11,阿里监测站,27,优,NaN,14,22,0.5,5,85,84,7
20200402,11,阿里地委,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,12,阿里监测站,28,优,NaN,4,8,0.4,2,88,84,6
20200402,12,阿里地委,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,13,阿里监测站,28,优,NaN,4,5,0.4,2,87,85,7
20200402,13,阿里地委,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,14,阿里监测站,28,优,NaN,3,8,0.4,2,87,85,6
20200402,14,阿里地委,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,14,阿里监测站,28,优,NaN,3,8,0.4,2,87,85,6
20200402,14,阿里地委,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,15,阿里监测站,28,优,NaN,2,13,0.4,2,89,86,6
20200402,15,阿里地委,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,16,阿里监测站,31,优,NaN,4,14,0.4,2,99,87,6
20200402,16,阿里地委,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,17,阿里监测站,34,优,NaN,1,4,0.4,2,107,90,6
20200402,17,阿里地委,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,18,阿里监测站,34,优,NaN,1,3,0.4,2,108,94,6
20200402,18,阿里地委,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,19,阿里监测站,32,优,NaN,2,3,0.5,2,102,96,6
20200402,19,阿里地委,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,20,阿里监测站,32,优,NaN,5,8,0.5,2,102,98,6
20200402,20,阿里地委,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,20,阿里监测站,32,优,NaN,5,8,0.5,2,102,98,6
20200402,20,阿里地委,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,22,阿里监测站,30,优,NaN,5,8,0.5,3,96,100,7
20200402,22,阿里地委,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,23,阿里监测站,30,优,NaN,5,5,0.5,4,96,101,8
20200402,23,阿里地委,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,00,阿里监测站,33,优,NaN,5,12,0.5,4,103,101,8
20200403,00,阿里地委,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,01,阿里监测站,34,优,NaN,5,11,0.5,4,107,107,9
20200403,01,阿里地委,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,02,阿里监测站,34,优,NaN,2,7,0.5,3,108,108,7
20200403,02,阿里地委,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,03,阿里监测站,34,优,NaN,2,2,0.5,2,108,108,7
20200403,03,阿里地委,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,08,阿里监测站,25,优,NaN,3,10,0.5,12,79,96,10
20200403,08,阿里地委,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,09,阿里监测站,22,优,NaN,3,7,0.5,17,69,92,8
20200403,09,阿里地委,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,10,阿里监测站,21,优,NaN,9,13,0.7,27,67,86,11
20200403,10,阿里地委,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,11,阿里监测站,30,优,NaN,12,22,0.5,10,96,85,8
20200403,11,阿里地委,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,12,阿里监测站,34,优,NaN,4,8,0.4,5,107,86,7
20200403,12,阿里地委,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,13,阿里监测站,34,优,NaN,1,3,0.4,3,108,87,6
20200403,13,阿里地委,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,14,阿里监测站,33,优,NaN,1,2,0.4,2,104,89,6
20200403,14,阿里地委,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,15,阿里监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
