Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200402,08,市委党校,43,优,NaN,30,38,1.8,25,20,9,5
20200402,08,市林业局,55,良,细颗粒物(PM2.5),39,50,1.5,23,21,23,5
20200402,08,市立交桥水厂,40,优,NaN,28,33,1.0,24,19,22,6
20200402,09,市委党校,68,良,细颗粒物(PM2.5),49,61,1.1,20,33,12,5
20200402,09,市林业局,68,良,细颗粒物(PM2.5),49,67,1.3,21,31,23,4
20200402,09,市立交桥水厂,53,良,细颗粒物(PM2.5),37,43,1.0,16,35,23,5
20200402,10,市委党校,89,良,细颗粒物(PM2.5),66,89,1.0,19,42,16,5
20200402,10,市林业局,72,良,细颗粒物(PM2.5),52,80,1.1,17,43,24,4
20200402,10,市立交桥水厂,62,良,细颗粒物(PM2.5),44,60,0.9,14,51,26,5
20200402,11,市委党校,82,良,细颗粒物(PM2.5),60,77,1.0,16,56,23,5
20200402,11,市林业局,63,良,"
                      颗粒物(PM10)
                      
                      细颗粒物(PM2.5)
                      
",45,75,1.0,14,59,29,4
20200402,11,市立交桥水厂,62,良,细颗粒物(PM2.5),44,66,0.9,12,61,30,5
20200402,12,市委党校,73,良,细颗粒物(PM2.5),53,63,1.0,14,83,33,5
20200402,12,市林业局,60,良,颗粒物(PM10),41,69,1.0,12,84,37,4
20200402,12,市立交桥水厂,60,良,细颗粒物(PM2.5),43,61,0.8,11,82,38,5
20200402,13,市委党校,75,良,细颗粒物(PM2.5),55,66,0.9,15,92,43,5
20200402,13,市林业局,60,良,细颗粒物(PM2.5),43,65,0.9,10,98,47,4
20200402,13,市立交桥水厂,59,良,细颗粒物(PM2.5),42,56,0.8,9,99,49,5
20200402,14,市委党校,68,良,细颗粒物(PM2.5),49,59,0.8,13,104,55,5
20200402,14,市林业局,53,良,"
                      颗粒物(PM10)
                      
                      细颗粒物(PM2.5)
                      
",37,55,0.9,8,108,58,4
20200402,14,市立交桥水厂,57,良,细颗粒物(PM2.5),40,53,0.7,9,112,60,5
20200402,15,市委党校,62,良,细颗粒物(PM2.5),44,58,0.9,16,104,67,5
20200402,15,市林业局,51,良,颗粒物(PM10),29,52,0.9,10,112,70,4
20200402,15,市立交桥水厂,53,良,细颗粒物(PM2.5),37,51,0.8,10,102,70,5
20200402,16,市委党校,62,良,细颗粒物(PM2.5),44,61,1.0,21,107,78,5
20200402,16,市林业局,64,良,细颗粒物(PM2.5),46,63,1.0,12,121,82,4
20200402,16,市立交桥水厂,57,良,细颗粒物(PM2.5),40,48,1.0,12,115,82,5
20200402,17,市委党校,67,良,细颗粒物(PM2.5),48,72,0.9,19,116,88,5
20200402,17,市林业局,72,良,细颗粒物(PM2.5),52,77,1.0,13,123,94,4
20200402,17,市立交桥水厂,82,良,颗粒物(PM10),53,114,1.0,12,118,92,5
20200402,18,市委党校,83,良,细颗粒物(PM2.5),61,86,1.0,27,97,95,4
20200402,18,市林业局,88,良,细颗粒物(PM2.5),65,85,1.1,15,114,102,4
20200402,18,市立交桥水厂,90,良,颗粒物(PM10),60,130,1.0,12,112,100,4
20200402,19,市委党校,92,良,细颗粒物(PM2.5),68,87,1.1,35,87,99,4
20200402,19,市林业局,77,良,细颗粒物(PM2.5),56,89,1.1,18,107,108,4
20200402,19,市立交桥水厂,74,良,细颗粒物(PM2.5),54,82,1.0,13,106,106,4
20200402,20,市委党校,100,良,细颗粒物(PM2.5),75,87,1.1,25,86,99,5
20200402,20,市林业局,88,良,细颗粒物(PM2.5),65,89,1.1,16,104,111,4
20200402,20,市立交桥水厂,84,良,细颗粒物(PM2.5),62,84,1.1,15,92,107,4
20200402,20,市委党校,100,良,细颗粒物(PM2.5),75,87,1.1,25,86,99,5
20200402,20,市林业局,88,良,细颗粒物(PM2.5),65,89,1.1,16,104,111,4
20200402,20,市立交桥水厂,84,良,细颗粒物(PM2.5),62,84,1.1,15,92,107,4
20200402,22,市委党校,103,轻度污染,细颗粒物(PM2.5),77,109,1.0,18,82,95,5
20200402,22,市林业局,87,良,细颗粒物(PM2.5),64,97,1.2,14,84,107,4
20200402,22,市立交桥水厂,92,良,细颗粒物(PM2.5),68,87,1.1,13,83,101,4
20200402,23,市委党校,100,良,细颗粒物(PM2.5),75,95,1.0,17,69,90,4
20200402,23,市林业局,84,良,细颗粒物(PM2.5),62,101,1.1,12,79,102,4
20200402,23,市立交桥水厂,94,良,细颗粒物(PM2.5),70,89,1.0,11,75,98,4
20200403,00,市委党校,94,良,细颗粒物(PM2.5),70,75,1.0,17,64,85,4
20200403,00,市林业局,84,良,细颗粒物(PM2.5),62,94,1.1,12,70,96,4
20200403,00,市立交桥水厂,88,良,细颗粒物(PM2.5),65,86,1.1,12,69,92,4
20200403,01,市委党校,90,良,细颗粒物(PM2.5),67,81,1.0,16,67,67,4
20200403,01,市林业局,82,良,细颗粒物(PM2.5),60,96,1.1,11,72,72,4
20200403,01,市立交桥水厂,82,良,细颗粒物(PM2.5),60,82,1.1,11,71,71,4
20200403,02,市委党校,93,良,细颗粒物(PM2.5),69,103,1.0,15,56,62,4
20200403,02,市林业局,94,良,细颗粒物(PM2.5),70,91,1.1,12,61,66,4
20200403,02,市立交桥水厂,89,良,细颗粒物(PM2.5),66,82,1.1,12,56,64,4
20200403,03,市委党校,92,良,细颗粒物(PM2.5),68,91,1.0,18,45,56,5
20200403,03,市林业局,92,良,细颗粒物(PM2.5),68,88,1.1,14,50,61,4
20200403,03,市立交桥水厂,93,良,细颗粒物(PM2.5),69,84,1.1,12,50,59,5
20200403,03,市委党校,92,良,细颗粒物(PM2.5),68,91,1.0,18,45,56,5
20200403,03,市林业局,92,良,细颗粒物(PM2.5),68,88,1.1,14,50,61,4
20200403,03,市立交桥水厂,93,良,细颗粒物(PM2.5),69,84,1.1,12,50,59,5
20200403,08,市委党校,89,良,细颗粒物(PM2.5),66,87,1.1,27,59,58,5
20200403,08,市林业局,87,良,细颗粒物(PM2.5),64,84,1.2,20,59,61,5
20200403,08,市立交桥水厂,79,良,细颗粒物(PM2.5),58,80,1.2,17,52,54,5
20200403,09,市委党校,97,良,细颗粒物(PM2.5),72,91,1.1,27,65,58,5
20200403,09,市林业局,93,良,细颗粒物(PM2.5),69,99,1.2,20,67,60,5
20200403,09,市立交桥水厂,88,良,细颗粒物(PM2.5),65,92,1.1,15,68,54,6
20200403,10,市委党校,100,良,细颗粒物(PM2.5),75,94,1.0,23,73,60,5
20200403,10,市林业局,94,良,细颗粒物(PM2.5),70,103,1.1,15,78,62,5
20200403,10,市立交桥水厂,95,良,细颗粒物(PM2.5),71,98,1.1,12,81,57,5
20200403,11,市委党校,104,轻度污染,细颗粒物(PM2.5),78,98,1.0,19,86,65,5
20200403,11,市林业局,73,良,细颗粒物(PM2.5),53,89,1.1,12,90,68,5
20200403,11,市立交桥水厂,97,良,细颗粒物(PM2.5),72,111,1.0,11,92,62,6
20200403,12,市委党校,98,良,细颗粒物(PM2.5),73,90,0.9,17,100,71,5
20200403,12,市林业局,73,良,细颗粒物(PM2.5),53,75,1.0,11,101,73,5
20200403,12,市立交桥水厂,95,良,细颗粒物(PM2.5),71,103,1.0,10,102,69,6
20200403,13,市委党校,84,良,细颗粒物(PM2.5),62,82,1.0,18,101,77,5
20200403,13,市林业局,65,良,细颗粒物(PM2.5),47,78,1.0,11,104,79,5
20200403,13,市立交桥水厂,74,良,细颗粒物(PM2.5),54,76,1.0,10,105,76,6
20200403,14,市委党校,75,良,细颗粒物(PM2.5),55,80,0.9,17,110,82,5
20200403,14,市林业局,67,良,细颗粒物(PM2.5),48,82,1.1,13,108,84,6
20200403,14,市立交桥水厂,65,良,细颗粒物(PM2.5),47,68,1.0,10,107,83,6
20200403,15,市委党校,77,良,细颗粒物(PM2.5),56,70,0.8,15,114,88,5
20200403,15,市林业局,59,良,颗粒物(PM10),15,67,0.9,10,112,90,5
20200403,15,市立交桥水厂,55,良,颗粒物(PM10),38,60,0.9,7,110,90,5
20200403,16,市委党校,60,良,细颗粒物(PM2.5),43,51,0.7,15,111,95,4
20200403,16,市林业局,48,优,NaN,20,48,0.7,NaN,109,96,4
20200403,16,市立交桥水厂,46,优,NaN,30,46,0.8,6,111,97,5
20200403,17,市委党校,49,优,NaN,28,49,0.8,16,106,100,4
20200403,17,市林业局,43,优,NaN,15,43,0.8,7,106,101,4
20200403,17,市立交桥水厂,34,优,NaN,21,32,1.0,17,106,102,8
20200403,18,市委党校,49,优,NaN,25,49,0.8,22,100,104,4
20200403,18,市林业局,39,优,NaN,27,38,0.9,9,104,104,4
20200403,18,市立交桥水厂,54,良,细颗粒物(PM2.5),38,55,1.0,13,99,104,5
20200403,19,市委党校,51,良,颗粒物(PM10),35,51,1.0,31,82,103,5
20200403,19,市林业局,44,优,NaN,18,44,1.0,15,91,104,4
20200403,19,市立交桥水厂,64,良,细颗粒物(PM2.5),46,66,1.1,19,83,103,5
20200403,20,市委党校,65,良,细颗粒物(PM2.5),47,64,1.1,25,73,100,5
20200403,20,市林业局,88,良,细颗粒物(PM2.5),65,68,1.1,16,76,101,6
20200403,20,市立交桥水厂,55,良,颗粒物(PM10),32,60,1.2,27,63,98,6
20200403,21,市委党校,80,良,细颗粒物(PM2.5),59,80,1.1,24,63,95,6
20200403,21,市林业局,87,良,细颗粒物(PM2.5),64,87,1.1,16,69,97,8
20200403,21,市立交桥水厂,73,良,细颗粒物(PM2.5),53,76,1.2,22,62,93,7
20200403,22,市委党校,92,良,细颗粒物(PM2.5),68,89,1.2,26,51,88,6
20200403,22,市林业局,66,良,颗粒物(PM10),45,82,1.1,16,59,91,10
20200403,22,市立交桥水厂,85,良,细颗粒物(PM2.5),63,87,1.2,19,55,86,7
20200403,23,市委党校,83,良,细颗粒物(PM2.5),61,76,1.1,26,42,78,5
20200403,23,市林业局,64,良,细颗粒物(PM2.5),46,71,1.1,18,49,83,6
20200403,23,市立交桥水厂,77,良,细颗粒物(PM2.5),56,87,1.2,17,49,78,6
20200404,00,市委党校,75,良,细颗粒物(PM2.5),55,69,1.0,28,34,69,5
20200404,00,市林业局,72,良,细颗粒物(PM2.5),52,66,1.0,18,43,75,6
20200404,00,市立交桥水厂,77,良,细颗粒物(PM2.5),56,76,1.2,18,44,70,6
20200404,01,市委党校,77,良,细颗粒物(PM2.5),56,62,1.0,28,30,30,5
20200404,01,市林业局,64,良,细颗粒物(PM2.5),46,59,1.0,18,40,40,6
20200404,01,市立交桥水厂,79,良,细颗粒物(PM2.5),58,69,1.2,18,35,35,6
20200404,02,市委党校,73,良,细颗粒物(PM2.5),53,62,0.9,26,30,30,5
20200404,02,市林业局,58,良,细颗粒物(PM2.5),41,56,0.9,22,32,36,5
20200404,02,市立交桥水厂,75,良,细颗粒物(PM2.5),55,70,1.2,20,27,31,5
20200404,03,市委党校,64,良,细颗粒物(PM2.5),46,58,0.9,29,26,29,5
20200404,03,市林业局,56,良,颗粒物(PM10),37,61,0.9,21,32,35,5
20200404,03,市立交桥水厂,63,良,细颗粒物(PM2.5),45,70,1.1,17,29,30,6
20200404,03,市委党校,64,良,细颗粒物(PM2.5),46,58,0.9,29,26,29,5
20200404,03,市林业局,56,良,颗粒物(PM10),37,61,0.9,21,32,35,5
20200404,03,市立交桥水厂,63,良,细颗粒物(PM2.5),45,70,1.1,17,29,30,6
20200404,08,市委党校,67,良,细颗粒物(PM2.5),48,60,1.0,28,15,21,5
20200404,08,市林业局,63,良,细颗粒物(PM2.5),45,54,0.9,17,20,28,7
20200404,08,市立交桥水厂,68,良,细颗粒物(PM2.5),49,63,1.3,26,12,21,6
20200404,09,市委党校,65,良,细颗粒物(PM2.5),47,62,1.0,26,20,20,5
20200404,09,市林业局,74,良,细颗粒物(PM2.5),54,58,1.1,22,20,25,6
20200404,09,市立交桥水厂,78,良,细颗粒物(PM2.5),57,81,1.2,26,13,18,7
20200404,10,市委党校,69,良,细颗粒物(PM2.5),50,63,1.0,20,32,20,7
20200404,10,市林业局,57,良,颗粒物(PM10),38,64,1.0,16,34,25,7
20200404,10,市立交桥水厂,92,良,细颗粒物(PM2.5),68,90,1.2,27,27,18,9
20200404,11,市委党校,70,良,细颗粒物(PM2.5),51,63,1.0,16,63,25,9
20200404,11,市林业局,57,良,"
                      颗粒物(PM10)
                      
                      细颗粒物(PM2.5)
                      
",40,64,0.9,12,68,30,8
20200404,11,市立交桥水厂,90,良,细颗粒物(PM2.5),67,89,1.1,25,60,22,11
20200404,12,市委党校,77,良,细颗粒物(PM2.5),56,57,0.9,15,108,36,8
20200404,12,市林业局,55,良,颗粒物(PM10),32,60,0.9,10,108,40,8
20200404,12,市立交桥水厂,78,良,细颗粒物(PM2.5),57,83,1.1,16,102,32,9
20200404,13,市委党校,74,良,细颗粒物(PM2.5),54,56,0.9,15,128,50,8
20200404,13,市林业局,55,良,细颗粒物(PM2.5),39,48,0.9,10,128,52,7
20200404,13,市立交桥水厂,65,良,细颗粒物(PM2.5),47,76,1.1,11,126,46,9
20200404,14,市委党校,67,良,细颗粒物(PM2.5),48,55,0.8,13,138,65,7
20200404,14,市林业局,46,优,NaN,31,46,0.7,5,134,66,6
20200404,14,市立交桥水厂,65,良,细颗粒物(PM2.5),47,64,0.9,5,133,60,7
20200404,15,市委党校,64,良,细颗粒物(PM2.5),46,56,0.6,12,133,80,5
20200404,15,市林业局,43,优,NaN,26,40,0.6,4,135,81,5
20200404,15,市立交桥水厂,48,优,NaN,33,45,0.8,5,131,76,5
20200404,16,市委党校,50,优,NaN,31,50,0.6,12,128,94,5
20200404,16,市林业局,41,优,NaN,15,28,0.6,3,131,95,4
20200404,16,市立交桥水厂,41,优,NaN,21,33,0.8,5,131,90,5
20200404,17,市委党校,41,优,NaN,17,31,0.6,12,131,108,4
20200404,17,市林业局,43,优,NaN,25,NaN,0.6,3,137,109,4
20200404,17,市立交桥水厂,43,优,NaN,30,NaN,0.8,5,133,105,5
20200404,18,市委党校,40,优,NaN,17,29,0.6,13,128,120,5
20200404,18,市林业局,42,优,NaN,6,22,0.7,5,132,122,4
20200404,18,市立交桥水厂,41,优,NaN,22,26,0.9,7,129,118,5
20200404,19,市委党校,37,优,NaN,20,34,0.8,17,116,126,5
20200404,19,市林业局,40,优,NaN,21,27,0.7,7,128,129,4
20200404,19,市立交桥水厂,37,优,NaN,15,24,0.9,10,117,125,5
20200404,20,市委党校,46,优,NaN,31,46,0.8,18,111,127,5
20200404,20,市林业局,44,优,NaN,21,44,0.7,9,127,132,5
20200404,20,市立交桥水厂,40,优,NaN,28,37,1.0,11,114,127,5
20200404,21,市委党校,54,良,细颗粒物(PM2.5),38,56,0.8,23,108,124,5
20200404,21,市林业局,50,优,NaN,24,50,0.7,8,129,132,5
20200404,21,市立交桥水厂,50,优,NaN,31,50,0.9,12,115,125,5
20200404,22,市委党校,51,良,颗粒物(PM10),32,51,0.8,31,94,119,5
20200404,22,市林业局,43,优,NaN,30,43,0.7,10,120,130,5
20200404,22,市立交桥水厂,50,优,NaN,26,50,1.0,16,101,121,6
20200404,22,市委党校,51,良,颗粒物(PM10),32,51,0.8,31,94,119,5
20200404,22,市林业局,43,优,NaN,30,43,0.7,10,120,130,5
20200404,22,市立交桥水厂,50,优,NaN,26,50,1.0,16,101,121,6
20200405,08,市委党校,59,良,细颗粒物(PM2.5),42,54,1.2,45,34,62,9
20200405,08,市林业局,64,良,细颗粒物(PM2.5),46,56,0.9,26,55,61,7
20200405,08,市立交桥水厂,59,良,细颗粒物(PM2.5),42,50,NaN,38,43,66,10
20200405,09,市委党校,63,良,细颗粒物(PM2.5),45,68,1.2,44,49,58,9
20200405,09,市林业局,58,良,颗粒物(PM10),38,65,0.9,32,43,57,6
20200405,09,市立交桥水厂,82,良,细颗粒物(PM2.5),60,NaN,1.1,43,51,61,9
20200405,10,市委党校,70,良,颗粒物(PM10),50,90,1.2,33,74,60,9
20200405,10,市林业局,62,良,颗粒物(PM10),39,73,1.0,30,66,57,7
20200405,10,市立交桥水厂,NaN,,NaN,56,NaN,1.1,41,50,59,8
20200405,11,市委党校,74,良,细颗粒物(PM2.5),54,86,1.2,39,86,62,8
20200405,11,市林业局,63,良,颗粒物(PM10),41,75,1.0,25,99,62,7
20200405,11,市立交桥水厂,NaN,,NaN,53,NaN,0.7,19,109,65,8
20200405,12,市委党校,75,良,细颗粒物(PM2.5),55,84,1.0,27,119,66,7
20200405,12,市林业局,61,良,颗粒物(PM10),36,72,1.1,21,118,70,8
20200405,12,市立交桥水厂,72,良,细颗粒物(PM2.5),52,89,0.7,14,122,72,8
20200405,13,市委党校,73,良,细颗粒物(PM2.5),53,89,0.9,17,152,78,8
20200405,13,市林业局,54,良,颗粒物(PM10),32,57,0.8,8,145,81,8
