Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200402,08,湖东路四小,52,良,颗粒物(PM10),19,54,1.1,42,42,57,13
20200402,08,天平服装,53,良,颗粒物(PM10),20,56,0.8,29,43,53,8
20200402,08,慈湖二小,55,良,颗粒物(PM10),29,60,1.0,41,43,55,26
20200402,08,马钢动力厂,45,优,NaN,17,45,1.1,38,36,49,8
20200402,08,市教育基地,55,良,颗粒物(PM10),34,60,1.0,34,33,53,11
20200402,09,湖东路四小,50,优,NaN,15,50,1.2,32,61,56,16
20200402,09,天平服装,48,优,NaN,16,48,1.3,33,51,52,14
20200402,09,慈湖二小,58,良,颗粒物(PM10),24,65,0.9,29,62,54,20
20200402,09,马钢动力厂,52,良,颗粒物(PM10),13,53,1.1,32,49,48,12
20200402,09,市教育基地,55,良,颗粒物(PM10),38,59,0.9,34,46,50,13
20200402,10,湖东路四小,53,良,颗粒物(PM10),18,55,1.0,35,62,55,15
20200402,10,天平服装,46,优,NaN,14,46,1.2,31,62,50,13
20200402,10,慈湖二小,52,良,颗粒物(PM10),22,54,0.7,28,68,54,16
20200402,10,马钢动力厂,59,良,颗粒物(PM10),17,68,1.0,36,49,47,11
20200402,10,市教育基地,53,良,颗粒物(PM10),36,56,0.7,31,56,48,9
20200402,11,湖东路四小,48,优,NaN,13,48,0.8,27,79,56,12
20200402,11,天平服装,47,优,NaN,11,47,0.8,22,81,52,9
20200402,11,慈湖二小,51,良,颗粒物(PM10),18,52,0.6,23,80,57,NaN
20200402,11,马钢动力厂,60,良,颗粒物(PM10),12,69,0.7,28,63,47,10
20200402,11,市教育基地,51,良,颗粒物(PM10),30,51,0.7,32,67,49,10
20200402,12,湖东路四小,40,优,NaN,13,40,0.6,23,91,60,9
20200402,12,天平服装,38,优,NaN,11,38,0.6,18,92,56,7
20200402,12,慈湖二小,41,优,NaN,17,41,NaN,NaN,90,60,13
20200402,12,马钢动力厂,53,良,颗粒物(PM10),12,55,0.6,23,73,50,8
20200402,12,市教育基地,48,优,NaN,30,48,0.7,27,82,52,8
