Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200402,08,市一纸厂　,55,良,细颗粒物(PM2.5),39,53,0.8,24,25,22,6
20200402,08,市彩印厂　,58,良,颗粒物(PM10),35,65,0.5,23,19,19,4
20200402,08,天方二分厂　,56,良,颗粒物(PM10),38,62,0.5,25,21,19,6
20200402,09,市一纸厂　,63,良,颗粒物(PM10),38,75,0.8,25,25,23,6
20200402,09,市彩印厂　,56,良,颗粒物(PM10),30,62,0.5,21,23,20,4
20200402,09,天方二分厂　,58,良,颗粒物(PM10),37,65,0.6,23,25,20,5
20200402,10,市一纸厂　,59,良,细颗粒物(PM2.5),42,55,0.8,22,33,25,6
20200402,10,市彩印厂　,58,良,颗粒物(PM10),34,65,0.5,17,29,22,4
20200402,10,天方二分厂　,55,良,"
                      颗粒物(PM10)
                      
                      细颗粒物(PM2.5)
                      
",39,60,0.6,20,31,22,5
20200402,11,市一纸厂　,52,良,细颗粒物(PM2.5),36,52,0.8,20,36,26,8
20200402,11,市彩印厂　,56,良,颗粒物(PM10),33,61,0.5,17,31,23,5
20200402,11,天方二分厂　,62,良,细颗粒物(PM2.5),44,67,0.6,18,34,24,5
20200402,12,市一纸厂　,55,良,细颗粒物(PM2.5),39,58,0.9,19,40,29,6
20200402,12,市彩印厂　,57,良,细颗粒物(PM2.5),40,60,0.6,16,34,25,5
20200402,12,天方二分厂　,64,良,颗粒物(PM10),42,77,0.6,16,38,26,5
20200402,13,市一纸厂　,67,良,"
                      颗粒物(PM10)
                      
                      细颗粒物(PM2.5)
                      
",48,84,0.9,17,47,32,6
20200402,13,市彩印厂　,64,良,细颗粒物(PM2.5),46,75,0.6,15,38,27,4
20200402,13,天方二分厂　,67,良,颗粒物(PM10),42,83,0.7,15,44,29,4
20200402,14,市一纸厂　,73,良,细颗粒物(PM2.5),53,81,0.9,17,50,35,NaN
20200402,14,市彩印厂　,72,良,细颗粒物(PM2.5),52,79,0.6,16,41,30,4
20200402,14,天方二分厂　,74,良,细颗粒物(PM2.5),54,90,0.6,16,47,33,4
20200402,15,市一纸厂　,75,良,细颗粒物(PM2.5),55,94,1.0,NaN,40,37,7
20200402,15,市彩印厂　,79,良,细颗粒物(PM2.5),58,71,0.7,18,39,32,5
20200402,15,天方二分厂　,79,良,细颗粒物(PM2.5),58,104,0.7,18,46,36,5
20200402,16,市一纸厂　,NaN,,NaN,NaN,NaN,NaN,19,37,38,6
20200402,16,市彩印厂　,100,良,细颗粒物(PM2.5),75,127,0.8,21,33,34,5
20200402,16,天方二分厂　,107,轻度污染,细颗粒物(PM2.5),80,112,0.8,22,38,38,4
