Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200402,08,市监测站,63,良,细颗粒物(PM2.5),45,58,1.2,31,29,36,4
20200402,08,市交警支队,87,良,细颗粒物(PM2.5),64,83,1.1,38,19,28,13
20200402,08,迎宾馆,100,良,细颗粒物(PM2.5),75,NaN,1.1,37,16,31,7
20200402,09,市监测站,68,良,细颗粒物(PM2.5),49,65,1.2,43,22,32,9
20200402,09,市交警支队,83,良,细颗粒物(PM2.5),61,67,1.3,46,19,24,12
20200402,09,迎宾馆,88,良,细颗粒物(PM2.5),65,67,1.4,43,17,27,8
20200402,10,市监测站,77,良,颗粒物(PM10),54,103,1.5,47,23,29,26
20200402,10,市交警支队,105,轻度污染,细颗粒物(PM2.5),79,86,1.4,56,15,21,11
20200402,10,迎宾馆,89,良,细颗粒物(PM2.5),66,NaN,1.2,45,20,24,7
20200402,11,市监测站,82,良,细颗粒物(PM2.5),60,89,1.4,39,33,29,21
20200402,11,市交警支队,67,良,细颗粒物(PM2.5),48,66,1.2,57,27,20,10
20200402,11,迎宾馆,90,良,细颗粒物(PM2.5),67,NaN,0.9,32,47,25,6
20200402,12,市监测站,75,良,细颗粒物(PM2.5),55,61,1.0,30,47,30,7
20200402,12,市交警支队,78,良,细颗粒物(PM2.5),57,77,0.8,33,57,24,8
20200402,12,迎宾馆,80,良,细颗粒物(PM2.5),59,NaN,0.7,22,63,29,6
20200402,13,市监测站,69,良,细颗粒物(PM2.5),50,57,1.0,21,63,35,6
20200402,13,市交警支队,73,良,细颗粒物(PM2.5),53,55,0.7,23,75,31,8
20200402,13,迎宾馆,78,良,细颗粒物(PM2.5),57,NaN,0.6,18,77,34,6
20200402,14,市监测站,67,良,细颗粒物(PM2.5),48,58,0.9,17,81,41,6
20200402,14,市交警支队,84,良,细颗粒物(PM2.5),62,80,0.6,22,80,39,7
20200402,14,迎宾馆,74,良,细颗粒物(PM2.5),54,NaN,0.6,24,74,42,8
20200402,15,市监测站,57,良,细颗粒物(PM2.5),40,47,0.9,14,103,50,8
20200402,15,市交警支队,78,良,细颗粒物(PM2.5),57,63,0.7,24,85,47,9
20200402,15,迎宾馆,70,良,细颗粒物(PM2.5),51,NaN,0.7,28,76,49,8
20200402,16,市监测站,58,良,细颗粒物(PM2.5),41,50,1.1,22,100,59,13
20200402,16,市交警支队,69,良,细颗粒物(PM2.5),50,60,0.9,24,90,56,10
20200402,16,迎宾馆,72,良,细颗粒物(PM2.5),52,NaN,0.8,25,92,58,9
20200402,17,市监测站,59,良,细颗粒物(PM2.5),42,54,0.9,21,104,69,13
20200402,17,市交警支队,82,良,细颗粒物(PM2.5),60,60,0.7,17,102,66,9
20200402,17,迎宾馆,69,良,细颗粒物(PM2.5),50,NaN,0.8,17,105,69,9
20200402,18,市监测站,65,良,细颗粒物(PM2.5),47,59,1.2,31,86,77,21
20200402,18,市交警支队,77,良,细颗粒物(PM2.5),56,77,0.6,26,88,76,8
20200402,18,迎宾馆,75,良,细颗粒物(PM2.5),55,56,0.6,17,96,79,7
20200402,19,市监测站,70,良,细颗粒物(PM2.5),51,85,1.6,44,68,82,27
