Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200402,08,大洲岛,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,08,职工中心,52,良,颗粒物(PM10),27,53,0.7,24,32,38,6
20200402,08,红卫路,45,优,NaN,31,41,1.6,25,43,43,10
20200402,09,大洲岛,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,09,职工中心,50,优,NaN,27,50,0.7,19,51,39,7
20200402,09,红卫路,43,优,NaN,30,39,1.5,23,55,44,10
20200402,10,大洲岛,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,10,职工中心,51,良,颗粒物(PM10),28,51,0.7,17,57,42,7
20200402,10,红卫路,38,优,NaN,26,37,1.5,22,63,47,11
20200402,11,大洲岛,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,11,职工中心,49,优,NaN,34,49,0.7,16,56,43,9
20200402,11,红卫路,44,优,NaN,25,44,1.5,18,60,49,13
20200402,12,大洲岛,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,12,职工中心,55,良,细颗粒物(PM2.5),39,47,0.7,15,68,47,9
20200402,12,红卫路,46,优,NaN,29,46,1.5,21,64,52,13
20200402,13,大洲岛,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,13,职工中心,55,良,细颗粒物(PM2.5),39,42,0.6,9,80,54,7
20200402,13,红卫路,51,良,颗粒物(PM10),28,52,0.6,NaN,NaN,54,10
20200402,14,大洲岛,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,14,职工中心,50,优,NaN,35,39,0.6,9,79,58,7
20200402,14,红卫路,64,良,颗粒物(PM10),22,78,0.6,15,74,58,NaN
20200402,15,大洲岛,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,15,职工中心,50,优,NaN,35,40,0.6,11,77,62,7
20200402,15,红卫路,62,良,颗粒物(PM10),24,74,0.6,18,73,62,12
20200402,16,大洲岛,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,16,职工中心,52,良,细颗粒物(PM2.5),36,44,0.6,12,77,68,7
