Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200402,08,同仁县隆务镇,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,09,同仁县隆务镇,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,10,同仁县隆务镇,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,11,同仁县隆务镇,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,12,同仁县隆务镇,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,13,同仁县隆务镇,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,14,同仁县隆务镇,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,15,同仁县隆务镇,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,16,同仁县隆务镇,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,17,同仁县隆务镇,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,18,同仁县隆务镇,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,19,同仁县隆务镇,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,20,同仁县隆务镇,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,20,同仁县隆务镇,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,22,同仁县隆务镇,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,23,同仁县隆务镇,35,优,NaN,24,35,0.5,16,76,76,10
20200403,00,同仁县隆务镇,43,优,NaN,30,43,0.5,14,74,72,9
20200403,01,同仁县隆务镇,54,良,颗粒物(PM10),34,58,0.5,NaN,75,75,NaN
20200403,02,同仁县隆务镇,NaN,,NaN,NaN,NaN,NaN,13,NaN,75,9
20200403,03,同仁县隆务镇,50,优,NaN,35,50,0.5,11,81,78,7
20200403,08,同仁县隆务镇,44,优,NaN,26,44,0.4,23,65,76,12
20200403,09,同仁县隆务镇,46,优,NaN,27,46,0.5,35,51,73,17
20200403,10,同仁县隆务镇,50,优,NaN,30,50,0.5,26,67,72,17
