Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200402,08,小围寨,16,优,NaN,11,14,0.5,5,28,28,6
20200402,09,小围寨,16,优,NaN,11,12,0.5,8,30,28,7
20200402,10,小围寨,19,优,NaN,13,15,0.5,12,29,28,10
20200402,11,小围寨,24,优,NaN,16,24,0.5,28,16,27,12
20200402,12,小围寨,26,优,NaN,18,19,0.5,12,31,28,11
20200402,13,小围寨,16,优,NaN,7,16,0.5,12,31,28,9
20200402,14,小围寨,16,优,NaN,9,16,0.5,14,30,28,8
20200402,15,小围寨,18,优,NaN,9,18,0.5,20,25,28,8
20200402,16,小围寨,17,优,NaN,11,17,0.5,15,33,28,7
20200402,17,小围寨,22,优,NaN,15,NaN,0.5,22,27,28,8
20200402,18,小围寨,16,优,NaN,11,11,0.5,12,38,29,8
20200402,19,小围寨,12,优,NaN,8,11,0.5,13,38,32,8
20200402,20,小围寨,15,优,NaN,10,10,0.5,9,39,33,8
20200402,20,小围寨,15,优,NaN,10,10,0.5,9,39,33,8
20200402,22,小围寨,13,优,NaN,9,10,0.5,9,38,35,7
20200402,23,小围寨,13,优,NaN,9,10,0.6,9,38,36,7
20200403,00,小围寨,13,优,NaN,6,11,0.6,9,39,37,6
20200403,01,小围寨,13,优,NaN,7,9,0.6,11,40,40,5
20200403,02,小围寨,14,优,NaN,6,10,0.6,8,42,41,5
20200403,03,小围寨,14,优,NaN,5,8,0.6,7,43,42,5
20200403,03,小围寨,14,优,NaN,5,8,0.6,7,43,42,5
20200403,08,小围寨,12,优,NaN,2,3,0.6,8,38,40,5
20200403,09,小围寨,12,优,NaN,2,7,0.6,9,37,40,5
20200403,10,小围寨,12,优,NaN,2,9,0.6,10,38,39,5
20200403,11,小围寨,13,优,NaN,3,9,0.6,9,41,39,5
20200403,12,小围寨,13,优,NaN,4,9,0.6,11,40,39,6
20200403,13,小围寨,17,优,NaN,6,17,0.6,13,40,39,8
20200403,14,小围寨,23,优,NaN,9,23,0.6,11,40,39,7
20200403,15,小围寨,19,优,NaN,13,18,NaN,11,40,39,7
20200403,16,小围寨,31,优,NaN,16,31,0.7,NaN,46,40,6
20200403,17,小围寨,21,优,NaN,13,21,0.7,9,NaN,41,NaN
20200403,18,小围寨,NaN,,NaN,NaN,NaN,0.7,8,49,42,13
20200403,19,小围寨,33,优,NaN,23,30,0.7,9,49,43,12
20200403,20,小围寨,32,优,NaN,22,27,0.7,7,49,45,10
20200403,21,小围寨,26,优,NaN,18,26,0.7,6,50,46,8
20200403,22,小围寨,26,优,NaN,18,19,0.7,7,46,47,8
20200403,23,小围寨,18,优,NaN,12,15,0.7,10,38,47,7
